event,event_start_local,event_end_local,n_event_hours,n_grids,n_gauges_used,n_gauges_per_grid
5,2016-08-26 06:00:00,2016-08-27 12:00:00,31,310,48,4

station_id,file_exists,rows_read,n_duplicates_collapsed,n_bad_time_rows_dropped,n_missing_after_reindex,n_filled_as_zero
16006,True,119224,13,0,20,20
16007,True,119214,13,0,22,22
16008,True,119218,13,0,23,23
16010,True,96500,11,0,19,19
16011,True,104153,12,0,22,22
16014,True,95109,11,0,21,21
16015,True,119218,13,0,23,23
16016,True,113129,13,0,20,20
16017,True,109568,12,0,21,21
16018,True,119206,13,0,22,22
16028,True,119219,13,0,22,22
16029,True,110428,12,0,22,22
16030,True,119221,13,0,22,22
16038,True,96766,11,0,21,21
16042,True,119219,13,0,21,21
16043,True,119218,13,0,22,22
16044,True,119224,13,0,22,22
16045,True,119223,13,0,21,21
16052,True,105162,12,0,20,20
16053,True,104289,12,0,19,19
16054,True,105153,12,0,19,19
16055,True,98172,11,0,21,21
16057,True,119223,13,0,19,19
16058,True,119222,13,0,19,19
16059,True,119214,13,0,21,21
16060,True,85078,9,0,20,20
16061,True,119217,13,0,18,18
16062,True,119217,13,0,20,20
16063,True,119217,13,0,20,20
16064,True,119216,13,0,21,21
16065,True,119221,13,0,20,20
16066,True,119210,13,0,20,20
16067,True,119220,13,0,20,20
16068,True,119222,13,0,21,21
16070,True,119218,13,0,19,19
16071,True,119220,13,0,8,8
16073,True,119208,13,0,20,20
16074,True,119214,13,0,20,20
16075,True,119212,13,0,19,19
16086,True,119229,13,0,20,20
16090,True,68174,8,0,21,21
16093,True,119228,13,0,22,22
16095,True,119213,13,0,21,21
16096,True,96586,11,0,19,19
2790,True,117991,13,0,21,21
2800,True,119212,13,0,22,22
5600,True,119208,13,0,21,21
5700,True,119229,13,0,20,20
