centroid_id,centroid_x,centroid_y,buffer_m,buffer_km,n_stations
0,361717.2495313643,4308553.353478568,5000.0,5.0,5
1,361736.66342551564,4309663.1405418655,5000.0,5.0,7
2,361756.0815463765,4310772.929364259,5000.0,5.0,7
3,355769.7231161192,4315320.641097296,5000.0,5.0,12
4,355790.0161174202,4316430.446845338,5000.0,5.0,12
5,336687.9312503892,4314582.30175971,5000.0,5.0,5
6,336710.90303001454,4315692.133616401,5000.0,5.0,5
7,336733.8798008943,4316801.967174422,5000.0,5.0,4
8,336756.8615623466,4317911.802433914,5000.0,5.0,3
9,336779.84831368923,4319021.639395,5000.0,5.0,3
10,336802.84005423996,4320131.478057818,5000.0,5.0,2
11,349241.5376093548,4291018.369896524,5000.0,5.0,3
12,349262.5832262164,4292128.1460307585,5000.0,5.0,3
13,355546.79123422946,4303112.8931122385,5000.0,5.0,9
14,355567.03570243897,4304222.679655542,5000.0,5.0,10
15,355587.28458575247,4305332.46794405,5000.0,5.0,9
16,355607.53788356937,4306442.257977897,5000.0,5.0,11
17,355627.7955952891,4307552.049757223,5000.0,5.0,12
18,355648.05772031075,4308661.8432821585,5000.0,5.0,12
19,355668.3242580334,4309771.638552845,5000.0,5.0,13
20,355688.59520785604,4310881.435569418,5000.0,5.0,13
21,355708.8705691773,4311991.234332013,5000.0,5.0,13
22,355729.150341396,4313101.034840768,5000.0,5.0,13
23,355749.4345239104,4314210.837095817,5000.0,5.0,14
24,349621.06314789434,4310994.605102518,5000.0,5.0,6
25,349642.191603812,4312104.412396291,5000.0,5.0,7
26,349663.32465595263,4313214.221422445,5000.0,5.0,8
27,349684.4623036892,4314324.032181111,5000.0,5.0,8
28,349705.6045463947,4315433.8446724275,5000.0,5.0,7
29,349726.75138344197,4316543.6588965235,5000.0,5.0,6
30,355324.3936523994,4290905.35627972,5000.0,5.0,3
31,349747.90281420364,4317653.474853538,5000.0,5.0,8
32,355344.58951486996,4292015.123634926,5000.0,5.0,4
33,349769.058838052,4318763.292543603,5000.0,5.0,7
34,355364.7897990411,4293124.892733811,5000.0,5.0,6
35,349790.2194543595,4319873.111966852,5000.0,5.0,7
36,355384.9945043139,4294234.663576513,5000.0,5.0,6
37,355405.2036300892,4295344.436163171,5000.0,5.0,7
38,355425.41717576777,4296454.210493927,5000.0,5.0,8
39,349283.63345056126,4293237.923894911,5000.0,5.0,3
40,349304.688281765,4294347.703489117,5000.0,5.0,5
41,349325.7477192031,4295457.484813521,5000.0,5.0,7
42,349346.8117622511,4296567.267868257,5000.0,5.0,7
43,349367.88041028404,4297677.052653461,5000.0,5.0,7
44,349388.953662677,4298786.839169273,5000.0,5.0,6
45,349410.0315188051,4299896.627415831,5000.0,5.0,7
46,349431.1139780431,4301006.417393272,5000.0,5.0,10
47,349452.2010397654,4302116.209101734,5000.0,5.0,12
48,349473.2927033467,4303226.002541355,5000.0,5.0,12
49,349494.3889681613,4304335.797712263,5000.0,5.0,11
50,349515.4898335834,4305445.5946146045,5000.0,5.0,12
51,349536.5952989872,4306555.3932485115,5000.0,5.0,12
52,349557.70536374644,4307665.1936141215,5000.0,5.0,11
53,349578.82002723496,4308774.995711568,5000.0,5.0,11
54,349599.9392888264,4309884.799540989,5000.0,5.0,9
55,341131.99163118494,4320042.974845283,5000.0,5.0,6
56,341154.3778086153,4321152.808631062,5000.0,5.0,5
57,340908.3970630419,4308944.731160654,5000.0,5.0,5
58,340930.7346475796,4310054.547826033,5000.0,5.0,4
59,340953.07709439204,4311164.366202852,5000.0,5.0,5
60,340975.4244028161,4312274.186291245,5000.0,5.0,4
61,340997.7765721886,4313384.008091349,5000.0,5.0,5
62,341020.13360184623,4314493.831603292,5000.0,5.0,5
63,341042.4954911256,4315603.656827213,5000.0,5.0,7
64,341064.862239363,4316713.483763237,5000.0,5.0,7
65,341087.2338458947,4317823.312411503,5000.0,5.0,7
66,341109.61031005665,4318933.142772139,5000.0,5.0,7
67,353088.23003528814,4310929.365752435,5000.0,5.0,11
68,353108.87099855347,4312039.168128375,5000.0,5.0,12
69,353129.5164521431,4313148.972244639,5000.0,5.0,12
70,353150.16639544466,4314258.778101358,5000.0,5.0,11
71,353170.8208278456,4315368.585698674,5000.0,5.0,11
72,359056.8607547077,4305269.917109396,5000.0,5.0,7
73,359076.62713590544,4306379.702387428,5000.0,5.0,6
74,359096.39782502654,4307489.489418551,5000.0,5.0,6
75,359116.172821485,4308599.278202903,5000.0,5.0,9
76,359135.9521246941,4309709.068740623,5000.0,5.0,9
77,359155.7357340674,4310818.861031847,5000.0,5.0,10
78,359175.5236490183,4311928.6550767105,5000.0,5.0,10
79,359195.3158689599,4313038.450875352,5000.0,5.0,12
80,359215.1123933051,4314148.248427909,5000.0,5.0,12
81,352758.58580632904,4293172.764309994,5000.0,5.0,5
82,352779.15484123304,4294282.5388593525,5000.0,5.0,5
83,352799.7283762407,4295392.315146841,5000.0,5.0,6
84,352820.3064107419,4296502.093172598,5000.0,5.0,6
85,352840.8889441261,4297611.872936756,5000.0,5.0,8
86,352861.4759757831,4298721.6544394605,5000.0,5.0,11
87,352882.0675051024,4299831.437680846,5000.0,5.0,11
88,352902.66353147296,4300941.222661052,5000.0,5.0,13
89,352923.2640542843,4302051.009380216,5000.0,5.0,14
90,352943.86907292524,4303160.797838475,5000.0,5.0,12
91,352964.47858678456,4304270.588035961,5000.0,5.0,10
92,352985.0925952512,4305380.379972821,5000.0,5.0,11
93,353005.7110977137,4306490.173649185,5000.0,5.0,13
94,353026.33409356035,4307599.969065195,5000.0,5.0,15
95,353046.9615821796,4308709.76622098,5000.0,5.0,13
96,353067.5935629595,4309819.565116681,5000.0,5.0,11
97,346934.74818990065,4306605.3070224,5000.0,5.0,6
98,346956.22357424675,4307715.111175715,5000.0,5.0,7
99,346977.70363678655,4308824.917054788,5000.0,5.0,6
100,346999.1883768829,4309934.724659757,5000.0,5.0,5
101,347020.6777938984,4311044.533990758,5000.0,5.0,5
102,347042.17188719526,4312154.345047922,5000.0,5.0,6
103,347063.670656136,4313264.157831386,5000.0,5.0,6
104,347085.1741000827,4314373.972341284,5000.0,5.0,6
105,352676.35467994696,4288733.68349105,5000.0,5.0,1
106,347106.68221839744,4315483.788577751,5000.0,5.0,6
107,352696.9057083379,4289843.451089291,5000.0,5.0,2
108,347128.1950104418,4316593.606540917,5000.0,5.0,5
109,352717.4612392717,4290953.220425099,5000.0,5.0,3
110,347149.7124755779,4317703.426230922,5000.0,5.0,5
111,352738.02127213863,4292062.991498621,5000.0,5.0,4
112,347171.2346131669,4318813.247647894,5000.0,5.0,5
113,347192.7614225705,4319923.070791969,5000.0,5.0,5
114,346655.99419872207,4292178.010011646,5000.0,5.0,3
115,346677.408708625,4293287.791742468,5000.0,5.0,4
116,346698.8279049926,4294397.575197274,5000.0,5.0,4
117,346720.25178718986,4295507.360376203,5000.0,5.0,6
118,346741.68035458116,4296617.147279393,5000.0,5.0,5
119,346763.11360653065,4297726.935906977,5000.0,5.0,4
120,346784.5515424027,4298836.726259098,5000.0,5.0,6
121,346805.99416156136,4299946.518335891,5000.0,5.0,7
122,346827.4414633706,4301056.312137492,5000.0,5.0,8
123,346848.893447194,4302166.107664039,5000.0,5.0,10
124,346870.3501123954,4303275.90491567,5000.0,5.0,9
125,346891.81145833805,4304385.703892511,5000.0,5.0,8
126,346913.2774843854,4305495.504594712,5000.0,5.0,8
127,338443.54312117933,4315656.45722552,5000.0,5.0,5
128,338466.2758775104,4316766.2881134655,5000.0,5.0,6
129,338489.01357150363,4317876.120707225,5000.0,5.0,5
130,338511.7562024842,4318985.955006924,5000.0,5.0,4
131,338534.5037697771,4320095.7910127,5000.0,5.0,4
132,338557.25627270713,4321205.628724679,5000.0,5.0,4
133,338398.09242420236,4313436.800566526,5000.0,5.0,6
134,338420.81530318514,4314546.628043249,5000.0,5.0,5
135,356555.3817250796,4310865.649183314,5000.0,5.0,11
136,356575.53522237565,4311975.446755755,5000.0,5.0,13
137,356595.69310409285,4313085.2460762765,5000.0,5.0,15
138,356615.8553696333,4314195.047145016,5000.0,5.0,13
139,356636.022018399,4315304.849962108,5000.0,5.0,12
140,356656.1930497916,4316414.654527684,5000.0,5.0,10
141,356273.6934616279,4295328.66664097,5000.0,5.0,6
142,356434.55284760933,4304206.90045072,5000.0,5.0,10
143,356454.6800258314,4305316.687537545,5000.0,5.0,10
144,356474.8115920588,4306426.476371629,5000.0,5.0,8
145,356494.9475456946,4307536.2669531135,5000.0,5.0,10
146,356515.0878861415,4308646.05928213,5000.0,5.0,11
147,356535.23261280236,4309755.853358818,5000.0,5.0,12
148,350403.8757031434,4306538.945626429,5000.0,5.0,13
149,350424.8639981368,4307648.744743852,5000.0,5.0,13
150,350445.85686537065,4308758.545595114,5000.0,5.0,11
151,350466.8543042223,4309868.348180352,5000.0,5.0,10
152,350487.856314069,4310978.152499703,5000.0,5.0,8
153,350508.86289428745,4312087.9585533,5000.0,5.0,8
154,350529.8740442548,4313197.766341281,5000.0,5.0,9
155,350550.8897633475,4314307.575863778,5000.0,5.0,10
156,350571.9100509422,4315417.38712093,5000.0,5.0,8
157,350592.9349064153,4316527.2001128625,5000.0,5.0,7
158,350613.96432914305,4317637.014839721,5000.0,5.0,7
159,350634.99831850163,4318746.8313016305,5000.0,5.0,8
160,350656.0368738669,4319856.649498732,5000.0,5.0,7
161,344245.5768290027,4302216.862356308,5000.0,5.0,5
162,344267.39851147553,4303326.66348507,5000.0,5.0,6
163,344289.22495419485,4304436.466332863,5000.0,5.0,7
164,344311.0561565135,4305546.270899833,5000.0,5.0,8
165,344332.8921177835,4306656.077186111,5000.0,5.0,6
166,344354.73283735703,4307765.885191835,5000.0,5.0,4
167,344376.5783145861,4308875.694917135,5000.0,5.0,2
168,344398.4285488225,4309985.506362149,5000.0,5.0,2
169,344420.2835394179,4311095.3195270095,5000.0,5.0,4
170,344442.14328572387,4312205.134411851,5000.0,5.0,4
171,344464.0077870919,4313314.95101681,5000.0,5.0,5
172,344485.87704287295,4314424.769342017,5000.0,5.0,6
173,344507.7510524184,4315534.58938761,5000.0,5.0,6
174,344529.6298150789,4316644.411153716,5000.0,5.0,7
175,344551.5133302055,4317754.2346404735,5000.0,5.0,7
176,344573.4015971486,4318864.059848013,5000.0,5.0,7
177,344049.3960046249,4292228.729531712,5000.0,5.0,3
178,344071.1748157613,4293338.5151952645,5000.0,5.0,4
179,344092.9583929657,4294448.302576624,5000.0,5.0,4
180,344114.74673559214,4295558.09167593,5000.0,5.0,3
181,344136.53984299407,4296667.882493322,5000.0,5.0,3
182,344158.33771452494,4297777.675028931,5000.0,5.0,4
183,344180.1403495382,4298887.469282899,5000.0,5.0,5
184,344201.94774738676,4299997.265255359,5000.0,5.0,5
185,344223.7599074241,4301107.062946451,5000.0,5.0,6
186,344595.2946152589,4319973.886776471,5000.0,5.0,4
187,344617.19238388666,4321083.715425976,5000.0,5.0,5
188,350110.52000688325,4291001.93995926,5000.0,5.0,3
189,350131.4442252023,4292111.714817286,5000.0,5.0,4
190,350152.3730244651,4293221.4914072305,5000.0,5.0,5
191,350173.3064040509,4294331.26972923,5000.0,5.0,7
192,350194.2443633389,4295441.049783425,5000.0,5.0,8
193,350215.186901708,4296550.831569956,5000.0,5.0,8
194,350236.1340185371,4297660.615088955,5000.0,5.0,8
195,350257.0857132048,4298770.400340564,5000.0,5.0,8
196,350278.0419850899,4299880.187324922,5000.0,5.0,9
197,350299.0028335706,4300989.976042163,5000.0,5.0,11
198,350319.9682580252,4302099.766492425,5000.0,5.0,11
199,350340.93825783185,4303209.558675848,5000.0,5.0,11
200,350361.91283236863,4304319.352592562,5000.0,5.0,9
201,350382.89198101324,4305429.148242711,5000.0,5.0,12
202,342686.6823506148,4311129.652484954,5000.0,5.0,4
203,342708.78587440803,4312239.469957291,5000.0,5.0,4
204,342730.89420620713,4313349.289145563,5000.0,5.0,4
205,342753.00734535593,4314459.110049903,5000.0,5.0,7
206,342775.1252911985,4315568.932670448,5000.0,5.0,7
207,342797.2480430781,4316678.757007324,5000.0,5.0,7
208,342819.37560033856,4317788.583060671,5000.0,5.0,8
209,342841.50796232314,4318898.410830617,5000.0,5.0,8
210,342863.64512837504,4320008.240317297,5000.0,5.0,6
211,342885.7870978372,4321118.071520844,5000.0,5.0,5
212,342907.9338700527,4322227.904441384,5000.0,5.0,4
213,342333.68039346323,4293372.80618501,5000.0,5.0,3
214,342355.7069000643,4294482.596220708,5000.0,5.0,3
215,342377.7382251475,4295592.387970178,5000.0,5.0,3
216,342399.7743680589,4296702.181433559,5000.0,5.0,3
217,342421.81532814505,4297811.97661098,5000.0,5.0,2
218,342510.0273271544,4302251.174463838,5000.0,5.0,5
219,342532.09236330155,4303360.978213526,5000.0,5.0,4
220,342554.1622126973,4304470.78367807,5000.0,5.0,4
221,342576.23687468714,4305580.590857611,5000.0,5.0,6
222,342598.3163486158,4306690.399752282,5000.0,5.0,6
223,342620.4006338283,4307800.210362218,5000.0,5.0,4
224,342642.4897296693,4308910.022687552,5000.0,5.0,2
225,342664.5836354833,4310019.836728419,5000.0,5.0,3
226,341708.82569790655,4305597.893566965,5000.0,5.0,6
227,341731.02693084074,4306707.703776631,5000.0,5.0,5
228,341753.23300154856,4307817.515699454,5000.0,5.0,5
229,341775.4439093707,4308927.3293355685,5000.0,5.0,3
230,341797.65965364844,4310037.144685108,5000.0,5.0,3
231,341819.8802337224,4311146.96174821,5000.0,5.0,4
232,341842.10564893315,4312256.780525005,5000.0,5.0,4
233,341864.33589862124,4313366.601015628,5000.0,5.0,5
234,341886.57098212687,4314476.423220213,5000.0,5.0,7
235,341509.2324099509,4295609.678749802,5000.0,5.0,3
236,341531.39007329766,4296719.473547131,5000.0,5.0,2
237,341908.8108987905,4315586.247138891,5000.0,5.0,7
238,341931.0556479517,4316696.072771794,5000.0,5.0,6
239,341953.3052289507,4317805.900119061,5000.0,5.0,7
240,341975.559641127,4318915.729180816,5000.0,5.0,7
241,341997.8188838204,4320025.559957198,5000.0,5.0,6
242,342020.0829563701,4321135.392448337,5000.0,5.0,5
243,354435.10434956604,4289811.449108145,5000.0,5.0,1
244,354455.417151668,4290921.215953826,5000.0,5.0,3
245,354475.73440261424,4292030.984541116,5000.0,5.0,4
246,354496.0561018024,4293140.754870154,5000.0,5.0,5
247,354516.3822486298,4294250.526941075,5000.0,5.0,7
248,354536.71284249367,4295360.300754023,5000.0,5.0,7
249,354557.0478827912,4296470.076309136,5000.0,5.0,8
250,354577.38736891915,4297579.853606552,5000.0,5.0,9
251,360850.2248659992,4308568.566571546,5000.0,5.0,6
252,360869.7605615869,4309678.354785811,5000.0,5.0,8
253,360889.30051036924,4310788.144757321,5000.0,5.0,9
254,360908.8447117669,4311897.93648621,5000.0,5.0,8
255,354679.1514659011,4303128.766233027,5000.0,5.0,10
256,354699.5176143406,4304238.553987163,5000.0,5.0,11
257,354719.88820438547,4305348.343484573,5000.0,5.0,10
258,354740.2632354315,4306458.134725388,5000.0,5.0,12
259,354760.6427068745,4307567.927709748,5000.0,5.0,13
260,354781.0266181099,4308677.722437785,5000.0,5.0,14
261,354801.4149685331,4309787.518909642,5000.0,5.0,13
262,354821.8077575395,4310897.317125449,5000.0,5.0,14
263,354842.20498452417,4312007.117085347,5000.0,5.0,12
264,354862.60664888215,4313116.918789469,5000.0,5.0,13
265,354883.01275000826,4314226.72223795,5000.0,5.0,13
266,354903.42328729725,4315336.527430931,5000.0,5.0,11
267,354923.83826014376,4316446.334368539,5000.0,5.0,9
268,335821.48765123077,4314600.281449193,5000.0,5.0,5
269,335844.58141444746,4315710.114653749,5000.0,5.0,4
270,335867.680195377,4316819.949557446,5000.0,5.0,4
271,335890.7839933338,4317929.786160423,5000.0,5.0,4
272,348499.62580933433,4297693.585310403,5000.0,5.0,6
273,348520.82062116324,4298803.373097703,5000.0,5.0,5
274,348542.02006324474,4299913.162613734,5000.0,5.0,8
275,348563.2241349498,4301022.953858636,5000.0,5.0,10
276,348584.4328356497,4302132.746832544,5000.0,5.0,12
277,348605.64616471506,4303242.541535598,5000.0,5.0,12
278,348626.8641215167,4304352.337967926,5000.0,5.0,11
279,348648.08670542523,4305462.1361296745,5000.0,5.0,10
280,348669.3139158111,4306571.936020973,5000.0,5.0,11
281,348690.54575204453,4307681.737641962,5000.0,5.0,11
282,348711.7822134957,4308791.540992772,5000.0,5.0,10
283,348733.02329953463,4309901.346073542,5000.0,5.0,8
284,348754.26900953124,4311011.152884407,5000.0,5.0,6
285,348775.519342855,4312120.961425499,5000.0,5.0,6
286,348796.77429887577,4313230.771696958,5000.0,5.0,6
287,348818.0338769628,4314340.583698914,5000.0,5.0,6
288,348393.72122597636,4292144.672300079,5000.0,5.0,4
289,348414.8928771153,4293254.451445782,5000.0,5.0,4
290,348436.06916164875,4294364.232319525,5000.0,5.0,5
291,348457.25007894856,4295474.014921452,5000.0,5.0,6
292,348478.43562838656,4296583.799251701,5000.0,5.0,6
293,348839.2980764854,4315450.397431506,5000.0,5.0,5
294,348860.56689681264,4316560.212894862,5000.0,5.0,6
295,348881.8403373137,4317670.03008912,5000.0,5.0,6
296,348903.1183973572,4318779.849014413,5000.0,5.0,7
297,348924.40107631194,4319889.669670875,5000.0,5.0,7
298,359943.89714207174,4306364.301333355,5000.0,5.0,7
299,359963.54607956763,4307474.087195414,5000.0,5.0,6
300,359983.19929790875,4308583.874812578,5000.0,5.0,7
301,360002.85679651244,4309693.664184985,5000.0,5.0,8
302,360022.51857479574,4310803.455312771,5000.0,5.0,10
303,360042.18463217554,4311913.248196072,5000.0,5.0,11
304,360061.8549680686,4313023.042835029,5000.0,5.0,9
305,353872.98764202255,4306474.106615387,5000.0,5.0,11
306,353893.48887483793,4307583.900811974,5000.0,5.0,14
307,353913.9945739358,4308693.696750296,5000.0,5.0,13
308,353934.5047387082,4309803.49443049,5000.0,5.0,14
309,353955.01936854667,4310913.293852692,5000.0,5.0,14
310,353975.5384628427,4312023.095017036,5000.0,5.0,12
311,353996.06202098774,4313132.897923662,5000.0,5.0,11
312,354016.59004237293,4314242.702572702,5000.0,5.0,12
313,354037.1225263895,4315352.508964295,5000.0,5.0,11
314,354057.65947242815,4316462.317098568,5000.0,5.0,9
315,353545.5758271703,4288717.636233918,5000.0,5.0,1
316,353566.00551686157,4289827.402581458,5000.0,5.0,2
317,353586.4396825477,4290937.17066852,5000.0,5.0,2
