,time_local,time_utc,rain_mm,n_records,remark,station
0,2016-08-26 16:00:00-0500,2016-08-26T21:00:00Z,83.312,59,,16005.hourly_mm
1,2017-08-21 17:00:00-0500,2017-08-21T22:00:00Z,85.344,83,,16013.hourly_mm
2,2017-08-21 17:00:00-0500,2017-08-21T22:00:00Z,84.328,83,,16015.hourly_mm
3,2025-07-16 22:00:00-0500,2025-07-17T03:00:00Z,87.884,85,,16018.hourly_mm
4,2013-05-31 00:00:00-0500,2013-05-31T05:00:00Z,83.312,82,,16023.hourly_mm
5,2024-03-23 09:00:00-0500,2024-03-23T14:00:00Z,122.936,121,,16030.hourly_mm
6,2024-03-23 10:00:00-0500,2024-03-23T15:00:00Z,111.76,110,,16030.hourly_mm
7,2024-03-24 05:00:00-0500,2024-03-24T10:00:00Z,106.68,105,,16030.hourly_mm
8,2024-03-24 06:00:00-0500,2024-03-24T11:00:00Z,119.888,118,,16030.hourly_mm
9,2024-03-24 07:00:00-0500,2024-03-24T12:00:00Z,123.952,122,,16030.hourly_mm
10,2024-03-24 08:00:00-0500,2024-03-24T13:00:00Z,125.984,124,,16030.hourly_mm
11,2024-03-24 09:00:00-0500,2024-03-24T14:00:00Z,124.968,123,,16030.hourly_mm
12,2024-03-24 10:00:00-0500,2024-03-24T15:00:00Z,125.984,124,,16030.hourly_mm
13,2024-03-24 11:00:00-0500,2024-03-24T16:00:00Z,124.968,123,,16030.hourly_mm
14,2024-03-24 12:00:00-0500,2024-03-24T17:00:00Z,125.984,124,,16030.hourly_mm
15,2024-03-24 13:00:00-0500,2024-03-24T18:00:00Z,125.984,124,,16030.hourly_mm
16,2024-03-24 14:00:00-0500,2024-03-24T19:00:00Z,127.0,125,,16030.hourly_mm
17,2024-03-24 15:00:00-0500,2024-03-24T20:00:00Z,124.968,121,,16030.hourly_mm
18,2024-03-24 16:00:00-0500,2024-03-24T21:00:00Z,125.984,124,,16030.hourly_mm
19,2024-03-24 17:00:00-0500,2024-03-24T22:00:00Z,124.968,123,,16030.hourly_mm
20,2024-03-24 18:00:00-0500,2024-03-24T23:00:00Z,124.968,123,,16030.hourly_mm
21,2024-03-24 19:00:00-0500,2024-03-25T00:00:00Z,124.968,123,,16030.hourly_mm
22,2024-03-24 20:00:00-0500,2024-03-25T01:00:00Z,124.968,123,,16030.hourly_mm
23,2024-03-24 21:00:00-0500,2024-03-25T02:00:00Z,125.984,122,,16030.hourly_mm
24,2024-03-24 22:00:00-0500,2024-03-25T03:00:00Z,124.968,121,,16030.hourly_mm
25,2024-03-24 23:00:00-0500,2024-03-25T04:00:00Z,124.968,123,,16030.hourly_mm
26,2024-03-25 00:00:00-0500,2024-03-25T05:00:00Z,125.984,124,,16030.hourly_mm
27,2024-03-25 01:00:00-0500,2024-03-25T06:00:00Z,125.984,124,,16030.hourly_mm
28,2024-03-25 02:00:00-0500,2024-03-25T07:00:00Z,124.968,123,,16030.hourly_mm
29,2022-04-01 07:00:00-0500,2022-04-01T12:00:00Z,112.776,111,,16031.hourly_mm
30,2022-04-01 08:00:00-0500,2022-04-01T13:00:00Z,120.904,119,,16031.hourly_mm
31,2022-04-01 09:00:00-0500,2022-04-01T14:00:00Z,121.92,120,,16031.hourly_mm
