,time_local,time_utc,rain_mm,n_records,remark,station
0,2024-03-23 09:00:00-0500,2024-03-23T14:00:00Z,122.936,121,,16030.hourly_mm
1,2024-03-23 10:00:00-0500,2024-03-23T15:00:00Z,111.76,110,,16030.hourly_mm
2,2024-03-24 05:00:00-0500,2024-03-24T10:00:00Z,106.68,105,,16030.hourly_mm
3,2024-03-24 06:00:00-0500,2024-03-24T11:00:00Z,119.888,118,,16030.hourly_mm
4,2024-03-24 07:00:00-0500,2024-03-24T12:00:00Z,123.952,122,,16030.hourly_mm
5,2024-03-24 08:00:00-0500,2024-03-24T13:00:00Z,125.984,124,,16030.hourly_mm
6,2024-03-24 09:00:00-0500,2024-03-24T14:00:00Z,124.968,123,,16030.hourly_mm
7,2024-03-24 10:00:00-0500,2024-03-24T15:00:00Z,125.984,124,,16030.hourly_mm
8,2024-03-24 11:00:00-0500,2024-03-24T16:00:00Z,124.968,123,,16030.hourly_mm
9,2024-03-24 12:00:00-0500,2024-03-24T17:00:00Z,125.984,124,,16030.hourly_mm
10,2024-03-24 13:00:00-0500,2024-03-24T18:00:00Z,125.984,124,,16030.hourly_mm
11,2024-03-24 14:00:00-0500,2024-03-24T19:00:00Z,127.0,125,,16030.hourly_mm
12,2024-03-24 15:00:00-0500,2024-03-24T20:00:00Z,124.968,121,,16030.hourly_mm
13,2024-03-24 16:00:00-0500,2024-03-24T21:00:00Z,125.984,124,,16030.hourly_mm
14,2024-03-24 17:00:00-0500,2024-03-24T22:00:00Z,124.968,123,,16030.hourly_mm
15,2024-03-24 18:00:00-0500,2024-03-24T23:00:00Z,124.968,123,,16030.hourly_mm
16,2024-03-24 19:00:00-0500,2024-03-25T00:00:00Z,124.968,123,,16030.hourly_mm
17,2024-03-24 20:00:00-0500,2024-03-25T01:00:00Z,124.968,123,,16030.hourly_mm
18,2024-03-24 21:00:00-0500,2024-03-25T02:00:00Z,125.984,122,,16030.hourly_mm
19,2024-03-24 22:00:00-0500,2024-03-25T03:00:00Z,124.968,121,,16030.hourly_mm
20,2024-03-24 23:00:00-0500,2024-03-25T04:00:00Z,124.968,123,,16030.hourly_mm
21,2024-03-25 00:00:00-0500,2024-03-25T05:00:00Z,125.984,124,,16030.hourly_mm
22,2024-03-25 01:00:00-0500,2024-03-25T06:00:00Z,125.984,124,,16030.hourly_mm
23,2024-03-25 02:00:00-0500,2024-03-25T07:00:00Z,124.968,123,,16030.hourly_mm
24,2022-04-01 07:00:00-0500,2022-04-01T12:00:00Z,112.776,111,,16031.hourly_mm
25,2022-04-01 08:00:00-0500,2022-04-01T13:00:00Z,120.904,119,,16031.hourly_mm
26,2022-04-01 09:00:00-0500,2022-04-01T14:00:00Z,121.92,120,,16031.hourly_mm
27,2022-04-01 10:00:00-0500,2022-04-01T15:00:00Z,121.92,120,,16031.hourly_mm
28,2022-04-01 11:00:00-0500,2022-04-01T16:00:00Z,121.92,120,,16031.hourly_mm
29,2022-04-01 12:00:00-0500,2022-04-01T17:00:00Z,121.92,120,,16031.hourly_mm
30,2022-04-03 05:00:00-0500,2022-04-03T10:00:00Z,109.728,108,,16031.hourly_mm
31,2022-04-03 06:00:00-0500,2022-04-03T11:00:00Z,121.92,120,,16031.hourly_mm
32,2022-04-03 07:00:00-0500,2022-04-03T12:00:00Z,121.92,120,,16031.hourly_mm
33,2022-04-03 08:00:00-0500,2022-04-03T13:00:00Z,121.92,120,,16031.hourly_mm
34,2022-04-03 09:00:00-0500,2022-04-03T14:00:00Z,121.92,120,,16031.hourly_mm
35,2022-04-03 10:00:00-0500,2022-04-03T15:00:00Z,121.92,120,,16031.hourly_mm
36,2022-04-03 11:00:00-0500,2022-04-03T16:00:00Z,121.92,120,,16031.hourly_mm
37,2022-04-03 12:00:00-0500,2022-04-03T17:00:00Z,121.92,120,,16031.hourly_mm
38,2022-04-03 13:00:00-0500,2022-04-03T18:00:00Z,113.792,112,,16031.hourly_mm
39,2023-05-08 08:00:00-0500,2023-05-08T13:00:00Z,102.616,70,,16067.hourly_mm
40,2017-06-22 08:00:00-0500,2017-06-22T13:00:00Z,101.6,64,,7080.hourly_mm
41,2017-06-22 11:00:00-0500,2017-06-22T16:00:00Z,119.888,73,,7080.hourly_mm
42,2017-06-22 12:00:00-0500,2017-06-22T17:00:00Z,134.112,65,,7080.hourly_mm
43,2017-06-22 13:00:00-0500,2017-06-22T18:00:00Z,125.984,63,,7080.hourly_mm
44,2017-06-23 07:00:00-0500,2017-06-23T12:00:00Z,108.712,65,,7080.hourly_mm
45,2017-06-25 04:00:00-0500,2017-06-25T09:00:00Z,101.6,62,,7080.hourly_mm
46,2017-06-26 10:00:00-0500,2017-06-26T15:00:00Z,104.648,44,,7080.hourly_mm
