site_id,device_id,station_no,site_uuid,device_uuid,input_title,api_label,units,probe_count,is_rain_increment
48,5,16048,6ad62053-ca48-4b50-b2d8-809f921c8164,777bd950-5c78-47df-99d8-7b15f105ae6f,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BL01-U.S. 69 @ Blue River <small>(16048)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
2,3,16035,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,3f2855e4-c9a0-46a8-8e42-b98e782bd462,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BL02-191st St &amp; Mission Rd <small>(16035)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
9,6,16040,3fe96411-b359-4598-bd33-3a67af8d3242,67363639-8418-4df4-8ee6-934b8a84a052,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BL03-Mission Rd @ E. Camp Branch <small>(16040)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
10,12,16049,fad65865-34ea-41f4-b552-69a9939e7dd9,0bd88e7a-711c-43aa-aeb7-890e79166e70,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BL04-Kenneth Rd @ Blue River <small>(16049)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
92,9,16093,06b6c9de-1bb2-4b95-8238-c90011a982f0,b0fd5b41-1c06-4334-babb-64928807e64d,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BR01-Nall Ave @ Brush Creek <small>(16093)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
94,4,16094,c69b7b9d-477a-47f7-9c41-2837662e4cec,929dab02-924a-4116-8aae-f442d0a08dce,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BR03-74th St @ Brush Creek <small>(16094)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
132,2,16005,3462ea93-7321-4585-89fa-d581d30a2a21,aa26ec7f-6d95-4331-83d4-77c9ea6f1f64,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BR07-Mission Rd @ Rock Creek <small>(16005)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
8,3,16084,884c5bad-94d9-4134-83d6-91a97ab9e348,c25819f4-d035-45a7-ad54-c52677148f75,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BU02-191st St &amp; Dillie Rd <small>(16084)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
77,3,16085,9d9f4481-eb7b-44bf-b7d4-af97f989de4e,c9452117-9b0c-43c7-84d6-d831f54d458f,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BU03-New Century Airport <small>(16085)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
79,10,16086,ec7a3bf8-7b31-46aa-bcd0-5f9fb671461e,7e8de922-b126-4f5d-8ff3-7e8b716c15cf,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CD01-JoCo Transit Building <small>(16086)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
82,4,16068,b8607998-b3bf-4e1e-8132-91fcfa3eea81,aee99c7e-87bb-400b-8d28-fd73f754a4c0,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CD02-Olathe Lake Discharge <small>(16068)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
83,4,16073,3a6c8235-0343-407b-85fb-654e6ccae439,42a3574f-a683-4301-a6e7-43624875966c,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CD03-127th St @ Cedar Creek <small>(16073)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
85,4,16071,1e8f2d00-6bca-4bc6-904d-2a609099f6d7,fa902e90-3d44-4736-b3b2-d51024fe1911,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CD04-119th St @ Little Cedar Creek <small>(16071)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
86,4,16069,e87cedc6-2515-4b81-8154-2c967e476c92,88780e9d-9cdc-4ac0-8f5d-98fc8334daea,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CD05-119th St @ Cedar Creek <small>(16069)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
117,4,16070,dfbb17cc-21d2-45dd-97bb-54235b783df6,431c984d-692c-45f9-a501-0bef6d1b6a32,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CD06-K-10 @ Cedar Creek <small>(16070)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
118,4,16072,75968fd7-b885-42f9-a15e-f359164aaa05,5e40e965-5a6f-4df8-b431-9b7fb88f0f26,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CD07-95th St @ Camp Creek <small>(16072)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
121,3,16074,c2d3cba4-ba9f-4782-87f1-7c55f30a614a,b3debe25-cfa0-4d28-8747-bf9e4f1acded,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CD08-Desoto Streamway Park <small>(16074)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
56,4,16037,58b49c20-8c93-4c3b-b762-e9a1bfbdc731,95474dbf-9bd5-4593-b7e5-d54d2991ed0c,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CF01-Pflumm Rd @ Coffee Creek <small>(16037)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
50,4,16039,111e6a56-5618-48e5-ab0a-6200efbf744e,e342bc38-1453-4087-8e37-64c4038fe4e2,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>CF03-Switzer Rd @ Coffee Creek <small>(16039)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
59,5,16018,101ce0fd-dc55-48d1-b132-cdb5502ed551,0e3de0fc-9077-4d83-832b-f165d60c7849,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>IN01-151st St &amp; Ridgeview Rd <small>(16018)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
60,4,16007,ebb8e8c0-4852-494c-b6fd-118ab6502ef4,ffaa1c5d-0027-4d96-9e7f-62cb807130f4,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>IN02-Sheridan St @ Indian Creek <small>(16007)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
