site_id,device_id,station_no,site_uuid,device_uuid,input_title,api_label,units,probe_count,is_rain_increment
4409,3,16300,0eed6f54-6c4e-4efb-ada9-8ed96d0c9a0c,ccb4c87b-a27d-4520-93db-1ea5c399cec7,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>108th @ East Branch of 2nd Creek <small>(16300)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,0,False
4410,3,16301,fa157ab4-34e9-4e83-85ec-865cbd554b45,c594a6ea-923c-4c3c-8ae7-6155b8ec8684,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>108th @ West Branch of 2nd Creek <small>(16301)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,0,False
4403,3,16302,19d4b0f5-e19c-4993-b983-3454601181b2,eaa947a7-be4e-4de0-b95c-8872d66e5d77,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>96th &amp; Brighton @ East Fork Shoal Creek <small>(16302)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,0,False
4401,4,16303,8e3448c8-442b-4232-88c0-6bd07f6b0beb,48c198b9-6e2d-42f0-9659-4be134b17777,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>Barry Rd @ East Fork Shoal Creek <small>(16303)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,0,False
4430,2,16304,c3f7c4e3-e042-4a30-841c-6c2ae18fdd0d,87df0cea-696d-422a-a340-ddfba5352a2e,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>Barry Rd. @ Line Creek <small>(16304)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,0,False
4439,2,16305,1062f1e1-f751-4635-9cb6-5740393dbaf3,b6547cd8-5293-4a66-a211-059415882ae7,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>Birmingham Pump Station <small>(16305)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,0,False
48,5,16048,6ad62053-ca48-4b50-b2d8-809f921c8164,777bd950-5c78-47df-99d8-7b15f105ae6f,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BL01-U.S. 69 @ Blue River <small>(16048)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
2,3,16035,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,3f2855e4-c9a0-46a8-8e42-b98e782bd462,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BL02-191st St &amp; Mission Rd <small>(16035)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
9,6,16040,3fe96411-b359-4598-bd33-3a67af8d3242,67363639-8418-4df4-8ee6-934b8a84a052,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BL03-Mission Rd @ E. Camp Branch <small>(16040)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
10,12,16049,fad65865-34ea-41f4-b552-69a9939e7dd9,0bd88e7a-711c-43aa-aeb7-890e79166e70,,"<span class=""text-nowrap""><i class=""fa-regular fa-flag-swallowtail""></i>BL04-Kenneth Rd @ Blue River <small>(16049)</small></span>
<!-- /.text-nowrap -->


<span class=""text-nowrap""><i class=""fa-regular fa-resistor""></i>Rain Increment <small>(0)</small></span>
<!-- /.text-nowrap -->",in,1440,True
