NEW,,,,,Filenames,,HARI,,,
properties.site_id,properties.site_alias,Lat,Long,,,,ID,Latitude,Longitude,New ID
4409,16300,39.2893368,-94.6289691,,16005,,3620,39.2893368,-94.6289691,16034
4410,16301,39.2891981,-94.6453783,,16006,,3600,39.2891981,-94.6453783,16034
4401,16303,39.2453747,-94.4980111,,16007,,7010,39.1228980,-94.7128340,16063
4430,16304,39.2462342,-94.6177081,,16008,,2540,39.2669295,-94.5185553,16034
4439,16305,39.1895939,-94.4249156,,16010,,2520,39.2453747,-94.4980111,16034
48,16048,38.8126100,-94.6756900,,16011,,3810,39.2462342,-94.6177081,16034
2,16035,38.7817500,-94.6316300,,16013,,3770,39.1895939,-94.4249156,16045
9,16040,38.8073800,-94.6305200,,16014,,16048,38.8126100,-94.6756900,#N/A
10,16049,38.8425800,-94.6128000,,16015,,16035,38.7817500,-94.6316300,#N/A
4425,16306,38.8594867,-94.5855265,,16016,,16040,38.8073800,-94.6305200,#N/A
4362,16307,38.9252317,-94.5710115,,16017,,16049,38.8425800,-94.6128000,16049
4420,16309,38.9538978,-94.5385010,,16018,,2800,38.8594867,-94.5855265,16306
4369,16310,38.9727116,-94.5483758,,16019,,2320,38.9252317,-94.5710115,16069
4386,16314,39.0366338,-94.4765680,,16020,,2700,38.9314973,-94.5260081,16015
4387,16315,39.0386493,-94.4785829,,16021,,2710,38.9538978,-94.5385010,16066
4432,16317,39.0981095,-94.5234476,,16022,,2420,38.9727116,-94.5483758,16057
4379,16318,39.0897708,-94.4930787,,16023,,5110,38.9986000,-94.5583000,16059
92,16093,38.9924400,-94.6492500,,16024,,2440,39.0142745,-94.5241348,16058
94,16094,38.9973800,-94.6364700,,16025,,2460,39.0374053,-94.5226206,16063
24,16106,39.0095800,-94.6297200,,16026,,4080,39.0366338,-94.4765680,16063
132,16005,39.0283000,-94.6260200,,16027,,4060,39.0386493,-94.4785829,16063
43,16099,39.0280000,-94.6235000,,16028,,4040,39.0444644,-94.4928498,16063
39,16112,39.0233800,-94.6165000,,16029,,4160,39.0981095,-94.5234476,16063
