,ID,Latitude,Longitude,NAD83_15N_Lat,NAD83_15N_Long
0,3620,39.2893368,-94.6289691,4350150.175917352,359517.2018577166
1,3600,39.2891981,-94.6453783,4350160.396279128,358101.70986705384
2,7010,39.122898,-94.712834,4331811.560617055,351935.0768178774
3,2540,39.2669295,-94.5185553,4347497.648049555,368998.0475608044
4,2520,39.2453747,-94.49801110000001,4345075.880940341,370730.838766924
5,3810,39.2462342,-94.6177081,4345349.001105543,360402.89358737075
6,3770,39.1895939,-94.4249156,4338783.391726064,376941.43771061115
7,16048,38.81261,-94.67569,4297315.714986155,354512.61469173955
8,16035,38.78175,-94.63163,4293821.741011516,358277.1114018331
9,16040,38.80738,-94.63052,4296664.359788262,358424.2589779895
10,16049,38.84258,-94.6128,4300543.458438134,360031.90706173796
11,2800,38.8594867,-94.5855265,4302378.272930931,362431.56856924796
12,2320,38.9252317,-94.5710115,4309652.7454853505,363816.67281997995
13,2700,38.9314973,-94.52600810000001,4310281.825234806,367729.63688837463
14,2710,38.9538978,-94.538501,4312786.00108,366688.69748768315
15,2420,38.9727116,-94.5483758,4314888.432218264,365868.4908286602
16,5110,38.9986,-94.5583,4317776.176157265,365057.91266768065
17,2440,39.0142745,-94.52413480000001,4319465.626913295,368045.75274486985
18,2460,39.0374053,-94.5226206,4322030.482984292,368219.8188709932
19,4080,39.0366338,-94.476568,4321879.141075279,372204.3889903741
20,4060,39.0386493,-94.4785829,4322105.653468524,372033.6295371296
21,4040,39.0444644,-94.4928498,4322771.183525754,370809.41315596865
22,4160,39.0981095,-94.5234476,4328768.665536355,368261.16198075167
23,2500,39.0897708,-94.4930787,4327799.621652897,370872.20014937525
24,16093,38.99244,-94.64925,4317231.312283282,357169.20227150916
25,5600,38.9946935,-94.63962590000001,4317466.349936681,358007.2355018938
26,16094,38.99738,-94.63647,4317759.580806153,358285.91442350275
27,5700,39.0225757,-94.6427877,4320565.676206036,357789.2663015523
28,5800,39.0330694,-94.6053658,4321672.440361207,361049.48976654053
29,5900,39.0403125,-94.5854459,4322446.040313235,362787.7382511484
30,5170,39.0042676,-94.584198,4318443.881251746,362826.0857462415
31,5100,39.0135336,-94.56448,4319442.685709367,364551.21337062144
32,5200,39.0667649,-94.5655363,4325351.894545201,364561.45431473874
33,5400,39.0405277,-94.5664928,4322441.496461474,364428.5296991006
34,6000,39.0370608,-94.5313469,4322004.93116596,367463.8914880873
35,16087,38.767604,-95.024221,4292933.504411276,324139.23777768074
36,16084,38.78272,-94.99197,4294549.578565958,326977.93725750025
37,16085,38.8228,-94.89869,4298825.288445618,335173.2807530728
38,16088,38.768933,-94.871385,4292798.215080563,337421.4499801113
