id,radius_used_km,g1,d1_m,b1_deg,g2,d2_m,b2_deg,g3,d3_m,b3_deg,g4,d4_m,b4_deg,g5,d5_m,b5_deg,g6,d6_m,b6_deg,g7,d7_m,b7_deg
12391609,6,2320,2369.860951482597,62.36057611487007,16019,4016.050007017563,257.20076294510267,1720,3115.163422551416,345.0995497140892,16008,3513.993684965495,302.0651047236006,16029,4823.839136557282,293.24591607656726,16010,5370.686107744417,316.3923413218892,2790,5376.254296494418,353.13972140735336
12391608,5,2320,2080.035369473255,90.28633904693112,16019,4414.461643635915,243.06755344540608,1720,2070.148471806946,336.65146496415645,16008,3091.136759113353,284.15129194843666,2790,4279.42633896625,351.10639592229074,16029,4521.919151319912,280.11394800409494,16010,4646.354608599017,306.73444712527584
12391607,5,2320,2345.3887352454176,118.52950022863342,16008,3037.4555975153885,263.3061580508601,1720,1153.6026218544125,313.27785061144857,2790,3191.688042013056,347.6799480368111,16010,4098.412771943505,294.03449925902083,16095,4379.0382126919785,338.5892045539815,16029,4482.201352415122,265.9609366431479
12367103,5,16093,2368.3762976623425,36.22106893366845,16096,565.7942103842993,132.56732795469026,16006,1670.5708651075918,269.149661996645,16053,3896.867083123119,321.66098467379453,16013,3856.390251022125,188.86325292811853,16095,4412.975489023538,96.1253727246671,5600,3100.085176234498,46.199845174743075
12367102,5,16093,1594.8479229458526,59.857133402973886,16096,1544.2844600571061,165.12615889249287,16006,2036.1020012322967,236.1348391648732,16053,3119.5297394680765,308.6119202978557,5700,4593.160476657571,25.80227090293681,16095,4644.731425977272,109.8963007050425,5600,2447.275426579445,64.95763267127717
12290104,6,16075,4135.238894517838,42.397396433868266,16066,4044.9067835967016,130.08983918475116,16070,2806.4689360653747,250.38959344242022,16074,3936.620104315129,297.11646246147865,16061,5605.954695311533,80.96922377270005,16071,5810.630256448905,178.32752246017492,16072,3464.541954825444,255.011565235393
12290103,7,16075,3380.223069946351,54.89299550526249,16066,4820.092468967905,140.41413902125169,16070,3364.627206412832,232.42502610285732,16074,3592.692687898818,280.9831714366536,16061,5518.283245021556,92.38765013705131,16069,6931.113862423374,183.45116142915526,16072,3921.4682215038247,239.23595278812525
12290102,6,16075,2866.3729663985655,73.08141374705872,16061,5651.604246029902,103.71264111294909,16074,3575.255157757508,263.16728569195914,16070,4150.8687162775905,220.38861575926785,16065,5632.574681150271,32.16144894139967,16066,5706.996304576236,147.71184907149916,16072,4606.227137450241,227.43657599789125
12290101,6,16065,4715.545892789331,39.12028366760296,16075,2733.271057813941,95.78884283086904,16074,3888.703632148172,246.74767902104884,16070,5059.966846608047,212.41808579666912,16072,5433.351567779054,218.9495795615691,16063,5607.38425066545,67.84397834702844,16061,5991.183674004572,114.1333128698547
12290100,7,16065,3900.1711998111937,49.19727922044024,16075,3031.4930486205553,117.19644058910933,16074,4463.871890022457,233.66252322017442,16058,5952.972277333314,86.44814453615209,16063,5267.095567438909,79.00147727043338,16070,6036.670309119975,206.9468578352889,16072,6347.429990089014,212.80143474534222
