event,event_start_local,event_end_local,n_event_hours,n_grids,n_gauges_used,n_gauges_per_grid
2,2014-08-06 12:00:00,2014-08-07 12:00:00,25,533,71,3

station_id,file_exists,rows_read,n_duplicates_collapsed,n_bad_time_rows_dropped,n_missing_after_reindex,n_filled_as_zero
16006,True,119224,13,0,17,17
16007,True,119214,13,0,16,16
16008,True,119218,13,0,16,16
16010,True,96500,11,0,14,14
16011,True,104153,12,0,16,16
16013,True,119223,13,0,16,16
16015,True,119218,13,0,16,16
16016,True,113129,13,0,16,16
16017,True,109568,12,0,15,15
16018,True,119206,13,0,16,16
16019,True,105157,12,0,16,16
16020,True,105149,12,0,16,16
16021,True,105163,12,0,16,16
16022,True,105155,12,0,17,17
16023,True,105154,12,0,16,16
16024,True,101860,11,0,17,17
16025,True,105161,12,0,16,16
16026,True,104358,12,0,16,16
16027,True,105153,12,0,16,16
16028,True,119219,13,0,17,17
16029,True,110428,12,0,17,17
16030,True,119221,13,0,17,17
16032,True,105155,12,0,17,17
16033,True,105156,12,0,19,19
16034,True,105147,12,0,18,18
16035,True,119225,13,0,16,16
16036,True,105154,12,0,18,18
16037,True,119223,13,0,16,16
16038,True,96766,11,0,16,16
16039,True,119221,13,0,16,16
16040,True,119221,13,0,16,16
16042,True,119219,13,0,16,16
16043,True,119218,13,0,16,16
16044,True,119224,13,0,17,17
16045,True,119223,13,0,15,15
16046,True,105153,12,0,18,18
16047,True,105157,12,0,17,17
16048,True,119216,13,0,17,17
16052,True,105162,12,0,15,15
16053,True,104289,12,0,17,17
16054,True,105153,12,0,15,15
16055,True,98172,11,0,15,15
16057,True,119223,13,0,15,15
16058,True,119222,13,0,14,14
16059,True,119214,13,0,16,16
16061,True,119217,13,0,15,15
16062,True,119217,13,0,15,15
16063,True,119217,13,0,13,13
16064,True,119216,13,0,14,14
16065,True,119221,13,0,13,13
16066,True,119210,13,0,16,16
16067,True,119220,13,0,17,17
16068,True,119222,13,0,17,17
16069,True,119208,13,0,16,16
16070,True,119218,13,0,14,14
16071,True,119220,13,0,15,15
16073,True,119208,13,0,16,16
16074,True,119214,13,0,16,16
16075,True,119212,13,0,14,14
16085,True,119220,13,0,17,17
16086,True,119229,13,0,18,18
16093,True,119228,13,0,16,16
16095,True,119213,13,0,16,16
16096,True,96586,11,0,15,15
1720,True,119229,13,0,17,17
2420,True,119216,13,0,15,15
2710,True,119210,13,0,16,16
2790,True,117991,13,0,16,16
2800,True,119212,13,0,16,16
5600,True,119208,13,0,16,16
7050,True,92086,11,0,18,18
