centroid_id,centroid_x,centroid_y,buffer_m,buffer_km,n_stations
11,349241.5376093548,4291018.369896524,6000.0,6.0,5
12,349262.5832262164,4292128.1460307585,6000.0,6.0,5
30,355324.3936523994,4290905.35627972,6000.0,6.0,4
32,355344.58951486996,4292015.123634926,6000.0,6.0,6
34,355364.7897990411,4293124.892733811,6000.0,6.0,6
36,355384.9945043139,4294234.663576513,6000.0,6.0,7
37,355405.2036300892,4295344.436163171,6000.0,6.0,8
38,355425.41717576777,4296454.210493927,6000.0,6.0,10
39,349283.63345056126,4293237.923894911,6000.0,6.0,8
40,349304.688281765,4294347.703489117,6000.0,6.0,9
41,349325.7477192031,4295457.484813521,6000.0,6.0,8
42,349346.8117622511,4296567.267868257,6000.0,6.0,9
43,349367.88041028404,4297677.052653461,6000.0,6.0,10
44,349388.953662677,4298786.839169273,6000.0,6.0,11
45,349410.0315188051,4299896.627415831,6000.0,6.0,15
46,349431.1139780431,4301006.417393272,6000.0,6.0,14
47,349452.2010397654,4302116.209101734,6000.0,6.0,15
81,352758.58580632904,4293172.764309994,6000.0,6.0,7
82,352779.15484123304,4294282.5388593525,6000.0,6.0,9
83,352799.7283762407,4295392.315146841,6000.0,6.0,11
84,352820.3064107419,4296502.093172598,6000.0,6.0,11
85,352840.8889441261,4297611.872936756,6000.0,6.0,13
86,352861.4759757831,4298721.6544394605,6000.0,6.0,13
87,352882.0675051024,4299831.437680846,6000.0,6.0,14
88,352902.66353147296,4300941.222661052,6000.0,6.0,17
105,352676.35467994696,4288733.68349105,6000.0,6.0,3
107,352696.9057083379,4289843.451089291,6000.0,6.0,3
109,352717.4612392717,4290953.220425099,6000.0,6.0,4
111,352738.02127213863,4292062.991498621,6000.0,6.0,6
114,346655.99419872207,4292178.010011646,6000.0,6.0,4
115,346677.408708625,4293287.791742468,6000.0,6.0,4
116,346698.8279049926,4294397.575197274,6000.0,6.0,7
117,346720.25178718986,4295507.360376203,6000.0,6.0,8
118,346741.68035458116,4296617.147279393,6000.0,6.0,8
119,346763.11360653065,4297726.935906977,6000.0,6.0,8
120,346784.5515424027,4298836.726259098,6000.0,6.0,9
121,346805.99416156136,4299946.518335891,6000.0,6.0,12
122,346827.4414633706,4301056.312137492,6000.0,6.0,13
123,346848.893447194,4302166.107664039,6000.0,6.0,10
141,356273.6934616279,4295328.66664097,6000.0,6.0,8
177,344049.3960046249,4292228.729531712,6000.0,6.0,4
178,344071.1748157613,4293338.5151952645,6000.0,6.0,4
179,344092.9583929657,4294448.302576624,6000.0,6.0,4
180,344114.74673559214,4295558.09167593,6000.0,6.0,4
181,344136.53984299407,4296667.882493322,6000.0,6.0,6
182,344158.33771452494,4297777.675028931,6000.0,6.0,5
183,344180.1403495382,4298887.469282899,6000.0,6.0,6
184,344201.94774738676,4299997.265255359,6000.0,6.0,7
188,350110.52000688325,4291001.93995926,6000.0,6.0,4
189,350131.4442252023,4292111.714817286,6000.0,6.0,5
190,350152.3730244651,4293221.4914072305,6000.0,6.0,8
191,350173.3064040509,4294331.26972923,6000.0,6.0,9
192,350194.2443633389,4295441.049783425,6000.0,6.0,9
193,350215.186901708,4296550.831569956,6000.0,6.0,9
194,350236.1340185371,4297660.615088955,6000.0,6.0,10
195,350257.0857132048,4298770.400340564,6000.0,6.0,13
196,350278.0419850899,4299880.187324922,6000.0,6.0,14
197,350299.0028335706,4300989.976042163,6000.0,6.0,14
198,350319.9682580252,4302099.766492425,6000.0,6.0,14
213,342333.68039346323,4293372.80618501,6000.0,6.0,5
214,342355.7069000643,4294482.596220708,6000.0,6.0,4
