centroid_id,centroid_x,centroid_y,buffer_m,buffer_km,n_stations
0,361717.2495313643,4308553.353478568,9000.0,9.0,21
1,361736.66342551564,4309663.1405418655,9000.0,9.0,24
2,361756.0815463765,4310772.929364259,9000.0,9.0,25
3,355769.7231161192,4315320.641097296,9000.0,9.0,33
4,355790.0161174202,4316430.446845338,9000.0,9.0,33
5,336687.9312503892,4314582.30175971,9000.0,9.0,16
6,336710.90303001454,4315692.133616401,9000.0,9.0,16
7,336733.8798008943,4316801.967174422,9000.0,9.0,14
8,336756.8615623466,4317911.802433914,9000.0,9.0,12
9,336779.84831368923,4319021.639395,9000.0,9.0,11
10,336802.84005423996,4320131.478057818,9000.0,9.0,11
11,349241.5376093548,4291018.369896524,9000.0,9.0,10
12,349262.5832262164,4292128.1460307585,9000.0,9.0,11
13,355546.79123422946,4303112.8931122385,9000.0,9.0,31
14,355567.03570243897,4304222.679655542,9000.0,9.0,34
15,355587.28458575247,4305332.46794405,9000.0,9.0,32
16,355607.53788356937,4306442.257977897,9000.0,9.0,33
17,355627.7955952891,4307552.049757223,9000.0,9.0,34
18,355648.05772031075,4308661.8432821585,9000.0,9.0,33
19,355668.3242580334,4309771.638552845,9000.0,9.0,34
20,355688.59520785604,4310881.435569418,9000.0,9.0,29
21,355708.8705691773,4311991.234332013,9000.0,9.0,31
22,355729.150341396,4313101.034840768,9000.0,9.0,32
23,355749.4345239104,4314210.837095817,9000.0,9.0,33
24,349621.06314789434,4310994.605102518,9000.0,9.0,32
25,349642.191603812,4312104.412396291,9000.0,9.0,28
26,349663.32465595263,4313214.221422445,9000.0,9.0,27
27,349684.4623036892,4314324.032181111,9000.0,9.0,28
28,349705.6045463947,4315433.8446724275,9000.0,9.0,26
29,349726.75138344197,4316543.6588965235,9000.0,9.0,27
30,355324.3936523994,4290905.35627972,9000.0,9.0,8
31,349747.90281420364,4317653.474853538,9000.0,9.0,27
32,355344.58951486996,4292015.123634926,9000.0,9.0,10
33,349769.058838052,4318763.292543603,9000.0,9.0,25
34,355364.7897990411,4293124.892733811,9000.0,9.0,13
35,349790.2194543595,4319873.111966852,9000.0,9.0,22
36,355384.9945043139,4294234.663576513,9000.0,9.0,16
37,355405.2036300892,4295344.436163171,9000.0,9.0,19
38,355425.41717576777,4296454.210493927,9000.0,9.0,20
39,349283.63345056126,4293237.923894911,9000.0,9.0,12
40,349304.688281765,4294347.703489117,9000.0,9.0,14
41,349325.7477192031,4295457.484813521,9000.0,9.0,17
42,349346.8117622511,4296567.267868257,9000.0,9.0,22
43,349367.88041028404,4297677.052653461,9000.0,9.0,22
44,349388.953662677,4298786.839169273,9000.0,9.0,25
45,349410.0315188051,4299896.627415831,9000.0,9.0,24
46,349431.1139780431,4301006.417393272,9000.0,9.0,25
47,349452.2010397654,4302116.209101734,9000.0,9.0,26
48,349473.2927033467,4303226.002541355,9000.0,9.0,27
49,349494.3889681613,4304335.797712263,9000.0,9.0,27
50,349515.4898335834,4305445.5946146045,9000.0,9.0,28
51,349536.5952989872,4306555.3932485115,9000.0,9.0,28
52,349557.70536374644,4307665.1936141215,9000.0,9.0,28
53,349578.82002723496,4308774.995711568,9000.0,9.0,26
54,349599.9392888264,4309884.799540989,9000.0,9.0,29
55,341131.99163118494,4320042.974845283,9000.0,9.0,11
56,341154.3778086153,4321152.808631062,9000.0,9.0,9
57,340908.3970630419,4308944.731160654,9000.0,9.0,18
58,340930.7346475796,4310054.547826033,9000.0,9.0,17
59,340953.07709439204,4311164.366202852,9000.0,9.0,19
60,340975.4244028161,4312274.186291245,9000.0,9.0,20
61,340997.7765721886,4313384.008091349,9000.0,9.0,18
62,341020.13360184623,4314493.831603292,9000.0,9.0,17
63,341042.4954911256,4315603.656827213,9000.0,9.0,16
64,341064.862239363,4316713.483763237,9000.0,9.0,15
65,341087.2338458947,4317823.312411503,9000.0,9.0,14
66,341109.61031005665,4318933.142772139,9000.0,9.0,12
67,353088.23003528814,4310929.365752435,9000.0,9.0,33
68,353108.87099855347,4312039.168128375,9000.0,9.0,33
69,353129.5164521431,4313148.972244639,9000.0,9.0,33
70,353150.16639544466,4314258.778101358,9000.0,9.0,31
71,353170.8208278456,4315368.585698674,9000.0,9.0,33
72,359056.8607547077,4305269.917109396,9000.0,9.0,25
73,359076.62713590544,4306379.702387428,9000.0,9.0,26
74,359096.39782502654,4307489.489418551,9000.0,9.0,27
75,359116.172821485,4308599.278202903,9000.0,9.0,32
76,359135.9521246941,4309709.068740623,9000.0,9.0,30
77,359155.7357340674,4310818.861031847,9000.0,9.0,27
78,359175.5236490183,4311928.6550767105,9000.0,9.0,29
79,359195.3158689599,4313038.450875352,9000.0,9.0,32
80,359215.1123933051,4314148.248427909,9000.0,9.0,31
81,352758.58580632904,4293172.764309994,9000.0,9.0,15
82,352779.15484123304,4294282.5388593525,9000.0,9.0,15
83,352799.7283762407,4295392.315146841,9000.0,9.0,18
84,352820.3064107419,4296502.093172598,9000.0,9.0,21
85,352840.8889441261,4297611.872936756,9000.0,9.0,24
86,352861.4759757831,4298721.6544394605,9000.0,9.0,25
87,352882.0675051024,4299831.437680846,9000.0,9.0,27
88,352902.66353147296,4300941.222661052,9000.0,9.0,29
89,352923.2640542843,4302051.009380216,9000.0,9.0,30
90,352943.86907292524,4303160.797838475,9000.0,9.0,33
91,352964.47858678456,4304270.588035961,9000.0,9.0,32
92,352985.0925952512,4305380.379972821,9000.0,9.0,32
93,353005.7110977137,4306490.173649185,9000.0,9.0,31
94,353026.33409356035,4307599.969065195,9000.0,9.0,30
95,353046.9615821796,4308709.76622098,9000.0,9.0,28
96,353067.5935629595,4309819.565116681,9000.0,9.0,31
97,346934.74818990065,4306605.3070224,9000.0,9.0,24
98,346956.22357424675,4307715.111175715,9000.0,9.0,24
