event,event_start_local,event_end_local,n_event_hours,n_grids,n_gauges_used,n_gauges_per_grid
8,2017-08-21 12:00:00,2017-08-22 12:00:00,25,4602,101,4

station_id,file_exists,rows_read,n_duplicates_collapsed,n_bad_time_rows_dropped,n_missing_after_reindex,n_filled_as_zero
16005,True,119226,13,0,13,13
16006,True,119224,13,0,13,13
16007,True,119214,13,0,16,16
16008,True,119218,13,0,14,14
16010,True,96500,11,0,12,12
16011,True,104153,12,0,14,14
16013,True,119223,13,0,15,15
16014,True,95109,11,0,15,15
16015,True,119218,13,0,15,15
16016,True,113129,13,0,15,15
16017,True,109568,12,0,14,14
16018,True,119206,13,0,15,15
16019,True,105157,12,0,13,13
16020,True,105149,12,0,14,14
16021,True,105163,12,0,15,15
16022,True,105155,12,0,15,15
16023,True,105154,12,0,14,14
16024,True,101860,11,0,15,15
16025,True,105161,12,0,14,14
16026,True,104358,12,0,12,12
16027,True,105153,12,0,16,16
16028,True,119219,13,0,16,16
16029,True,110428,12,0,12,12
16030,True,119221,13,0,13,13
16031,True,105155,12,0,14,14
16032,True,105155,12,0,13,13
16033,True,105156,12,0,14,14
16034,True,105147,12,0,15,15
16035,True,119225,13,0,15,15
16036,True,105154,12,0,15,15
16037,True,119223,13,0,15,15
16038,True,96766,11,0,12,12
16039,True,119221,13,0,15,15
16040,True,119221,13,0,14,14
16042,True,119219,13,0,13,13
16043,True,119218,13,0,13,13
16044,True,119224,13,0,14,14
16045,True,119223,13,0,13,13
16046,True,105153,12,0,14,14
16047,True,105157,12,0,14,14
16048,True,119216,13,0,14,14
16049,True,119217,13,0,15,15
16050,True,105156,12,0,14,14
16051,True,105158,12,0,14,14
16052,True,105162,12,0,17,17
16053,True,104289,12,0,13,13
16054,True,105153,12,0,15,15
16055,True,98172,11,0,16,16
16057,True,119223,13,0,16,16
16058,True,119222,13,0,16,16
16059,True,119214,13,0,16,16
16060,True,85078,9,0,16,16
16061,True,119217,13,0,16,16
16062,True,119217,13,0,16,16
16063,True,119217,13,0,15,15
16064,True,119216,13,0,16,16
16065,True,119221,13,0,17,17
16066,True,119210,13,0,15,15
16067,True,119220,13,0,16,16
16068,True,119222,13,0,16,16
16069,True,119208,13,0,16,16
16070,True,119218,13,0,15,15
16071,True,119220,13,0,16,16
16072,True,119215,13,0,16,16
16073,True,119208,13,0,16,16
16074,True,119214,13,0,17,17
16075,True,119212,13,0,16,16
16076,True,119222,13,0,16,16
16077,True,119218,13,0,16,16
16078,True,119219,13,0,16,16
16079,True,119213,13,0,17,17
16080,True,119220,13,0,16,16
16081,True,119127,13,0,16,16
16084,True,119219,13,0,15,15
16085,True,119220,13,0,16,16
16086,True,119229,13,0,17,17
16088,True,94436,11,0,14,14
16090,True,68174,8,0,15,15
16093,True,119228,13,0,13,13
16094,True,119215,13,0,13,13
16095,True,119213,13,0,13,13
16096,True,96586,11,0,13,13
16098,True,78042,9,0,13,13
1720,True,119229,13,0,11,11
2420,True,119216,13,0,13,13
2700,True,119218,13,0,14,14
2710,True,119210,13,0,15,15
2790,True,117991,13,0,21,21
2800,True,119212,13,0,14,14
2900,True,105155,12,0,15,15
3000,True,105157,12,0,14,14
5100,True,119215,13,0,14,14
5110,True,119037,13,0,13,13
5170,True,119206,13,0,12,12
5200,True,119224,13,0,14,14
5600,True,119208,13,0,14,14
5700,True,119229,13,0,12,12
5800,True,119217,13,0,16,16
5900,True,119219,13,0,12,12
7000,True,106181,12,0,16,16
7050,True,92086,11,0,15,15
