,ID,Latitude,Longitude,NAD83_15N_Lat,NAD83_15N_Long
0,3620,39.2893368,-94.6289691,4350150.176,359517.2019
1,3600,39.2891981,-94.6453783,4350160.396,358101.7099
2,7010,39.122898,-94.712834,4331811.561,351935.0768
3,2540,39.2669295,-94.5185553,4347497.648,368998.0476
4,2520,39.2453747,-94.4980111,4345075.881,370730.8388
5,3810,39.2462342,-94.6177081,4345349.001,360402.8936
6,3770,39.1895939,-94.4249156,4338783.392,376941.4377
7,16048,38.81261,-94.67569,4297315.715,354512.6147
8,16035,38.78175,-94.63163,4293821.741,358277.1114
9,16040,38.80738,-94.63052,4296664.36,358424.259
10,16049,38.84258,-94.6128,4300543.458,360031.9071
11,2800,38.8594867,-94.5855265,4302378.273,362431.5686
12,2320,38.9252317,-94.5710115,4309652.745,363816.6728
13,2700,38.9314973,-94.5260081,4310281.825,367729.6369
14,2710,38.9538978,-94.538501,4312786.001,366688.6975
15,2420,38.9727116,-94.5483758,4314888.432,365868.4908
16,5110,38.9986,-94.5583,4317776.176,365057.9127
17,2440,39.0142745,-94.5241348,4319465.627,368045.7527
18,2460,39.0374053,-94.5226206,4322030.483,368219.8189
19,4080,39.0366338,-94.476568,4321879.141,372204.389
20,4060,39.0386493,-94.4785829,4322105.653,372033.6295
21,4040,39.0444644,-94.4928498,4322771.184,370809.4132
22,4160,39.0981095,-94.5234476,4328768.666,368261.162
23,2500,39.0897708,-94.4930787,4327799.622,370872.2001
24,16093,38.99244,-94.64925,4317231.312,357169.2023
25,5600,38.9946935,-94.6396259,4317466.35,358007.2355
26,16094,38.99738,-94.63647,4317759.581,358285.9144
27,5700,39.0225757,-94.6427877,4320565.676,357789.2663
28,5800,39.0330694,-94.6053658,4321672.44,361049.4898
29,5900,39.0403125,-94.5854459,4322446.04,362787.7383
30,5170,39.0042676,-94.584198,4318443.881,362826.0857
31,5100,39.0135336,-94.56448,4319442.686,364551.2134
32,5200,39.0667649,-94.5655363,4325351.895,364561.4543
33,5400,39.0405277,-94.5664928,4322441.496,364428.5297
34,6000,39.0370608,-94.5313469,4322004.931,367463.8915
35,16087,38.767604,-95.024221,4292933.504,324139.2378
36,16084,38.78272,-94.99197,4294549.579,326977.9373
37,16085,38.8228,-94.89869,4298825.288,335173.2808
38,16088,38.768933,-94.871385,4292798.215,337421.45
39,16086,38.86322,-94.84413,4303214.093,340000.6206
40,16068,38.88369,-94.87986,4305549.123,336947.194
41,16073,38.89825,-94.88811,4307179.796,336265.0057
42,16071,38.91272,-94.88166,4308774.147,336857.5209
43,16069,38.91261,-94.88816,4308773.59,336293.6658
