station,nominal_step_seconds,n_missing_ranges_ge_min_gap,output_csv
1010.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/1010.hourly_mm_missing_ranges.csv
16005.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16005.hourly_mm_missing_ranges.csv
16006.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16006.hourly_mm_missing_ranges.csv
16007.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16007.hourly_mm_missing_ranges.csv
16008.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16008.hourly_mm_missing_ranges.csv
16010.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16010.hourly_mm_missing_ranges.csv
16011.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16011.hourly_mm_missing_ranges.csv
16013.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16013.hourly_mm_missing_ranges.csv
16014.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16014.hourly_mm_missing_ranges.csv
16015.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16015.hourly_mm_missing_ranges.csv
16016.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16016.hourly_mm_missing_ranges.csv
16017.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16017.hourly_mm_missing_ranges.csv
16018.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16018.hourly_mm_missing_ranges.csv
16019.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16019.hourly_mm_missing_ranges.csv
16020.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16020.hourly_mm_missing_ranges.csv
16021.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16021.hourly_mm_missing_ranges.csv
16022.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16022.hourly_mm_missing_ranges.csv
16023.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16023.hourly_mm_missing_ranges.csv
16024.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16024.hourly_mm_missing_ranges.csv
16025.hourly_mm,3600,3,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16025.hourly_mm_missing_ranges.csv
16026.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16026.hourly_mm_missing_ranges.csv
16027.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16027.hourly_mm_missing_ranges.csv
16028.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16028.hourly_mm_missing_ranges.csv
16029.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16029.hourly_mm_missing_ranges.csv
16030.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16030.hourly_mm_missing_ranges.csv
16031.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16031.hourly_mm_missing_ranges.csv
16032.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16032.hourly_mm_missing_ranges.csv
16033.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16033.hourly_mm_missing_ranges.csv
16034.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16034.hourly_mm_missing_ranges.csv
16035.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16035.hourly_mm_missing_ranges.csv
16036.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16036.hourly_mm_missing_ranges.csv
16037.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16037.hourly_mm_missing_ranges.csv
16038.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16038.hourly_mm_missing_ranges.csv
16039.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16039.hourly_mm_missing_ranges.csv
16040.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16040.hourly_mm_missing_ranges.csv
16042.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16042.hourly_mm_missing_ranges.csv
16043.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16043.hourly_mm_missing_ranges.csv
16044.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16044.hourly_mm_missing_ranges.csv
16045.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16045.hourly_mm_missing_ranges.csv
16046.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16046.hourly_mm_missing_ranges.csv
16047.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16047.hourly_mm_missing_ranges.csv
16048.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16048.hourly_mm_missing_ranges.csv
16049.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16049.hourly_mm_missing_ranges.csv
16050.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16050.hourly_mm_missing_ranges.csv
16051.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16051.hourly_mm_missing_ranges.csv
16052.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16052.hourly_mm_missing_ranges.csv
16053.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16053.hourly_mm_missing_ranges.csv
16054.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16054.hourly_mm_missing_ranges.csv
16055.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16055.hourly_mm_missing_ranges.csv
16057.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16057.hourly_mm_missing_ranges.csv
