view,type,cache,generated,data_date,src_file,feature_index,feature_type,geom_type,coord_0,coord_1,properties.id,properties.site,properties.site_id,properties.site_alias,properties.name,properties.description,properties.site_list_html,properties.site_hover_html,properties.system,properties.system_type,properties.image,properties.unix_timestamp,properties.status,properties.site_icon,properties.active_events
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,0,Feature,Point,-94.6289691,39.2893368,4409,0eed6f54-6c4e-4efb-ada9-8ed96d0c9a0c,4409,16300,108th @ East Branch of 2nd Creek,,108th @ East Branch of 2nd Creek <small>(16300)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  108th @ East Branch of 2nd Creek <small>(16300)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,1,Feature,Point,-94.6453783,39.2891981,4410,fa157ab4-34e9-4e83-85ec-865cbd554b45,4410,16301,108th @ West Branch of 2nd Creek,,108th @ West Branch of 2nd Creek <small>(16301)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  108th @ West Branch of 2nd Creek <small>(16301)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,2,Feature,Point,-94.5185553,39.2669295,4403,19d4b0f5-e19c-4993-b983-3454601181b2,4403,16302,96th &amp; Brighton @ East Fork Shoal Creek,,"96th &amp; Brighton @ East Fork Shoal Creek <small>(16302)</small><div class=""mt-1 mb-1"">
<span class=""text-warning"">
<small><i class=""fa-regular fa-plug""  aria-hidden=""true""></i>  Out of Service</small>
</span>
</div>","<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  96th &amp; Brighton @ East Fork Shoal Creek <small>(16302)</small><div class=""mt-1 mb-1"">
<span class=""text-warning"">
<small><i class=""fa-regular fa-plug""  aria-hidden=""true""></i>  Out of Service</small>
</span>
</div></div>",Century Towers A2,26,,1771345008,3,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,3,Feature,Point,-94.4980111,39.2453747,4401,8e3448c8-442b-4232-88c0-6bd07f6b0beb,4401,16303,Barry Rd @ East Fork Shoal Creek,,"Barry Rd @ East Fork Shoal Creek <small>(16303)</small><div class=""mt-1 mb-1"">
<span class=""text-default"">
<small><i class=""fa-regular fa-hourglass-half""  aria-hidden=""true""></i>  Timeout</small>
</span>
</div>","<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  Barry Rd @ East Fork Shoal Creek <small>(16303)</small><div class=""mt-1 mb-1"">
<span class=""text-default"">
<small><i class=""fa-regular fa-hourglass-half""  aria-hidden=""true""></i>  Timeout</small>
</span>
</div></div>",Century Towers A2,26,,1771345008,2,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,4,Feature,Point,-94.6177081,39.2462342,4430,c3f7c4e3-e042-4a30-841c-6c2ae18fdd0d,4430,16304,Barry Rd. @ Line Creek,,Barry Rd. @ Line Creek <small>(16304)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  Barry Rd. @ Line Creek <small>(16304)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,5,Feature,Point,-94.4249156,39.1895939,4439,1062f1e1-f751-4635-9cb6-5740393dbaf3,4439,16305,Birmingham Pump Station,,Birmingham Pump Station <small>(16305)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  Birmingham Pump Station <small>(16305)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,6,Feature,Point,-94.67569,38.8126101,48,6ad62053-ca48-4b50-b2d8-809f921c8164,48,16048,BL01-U.S. 69 @ Blue River,,BL01-U.S. 69 @ Blue River <small>(16048)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL01-U.S. 69 @ Blue River <small>(16048)</small></div>",169.525,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,7,Feature,Point,-94.63163,38.78175,2,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,2,16035,BL02-191st St &amp; Mission Rd,,BL02-191st St &amp; Mission Rd <small>(16035)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL02-191st St &amp; Mission Rd <small>(16035)</small></div>",169.525,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,8,Feature,Point,-94.63052,38.80738,9,3fe96411-b359-4598-bd33-3a67af8d3242,9,16040,BL03-Mission Rd @ E. Camp Branch,,BL03-Mission Rd @ E. Camp Branch <small>(16040)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL03-Mission Rd @ E. Camp Branch <small>(16040)</small></div>",169.525,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,9,Feature,Point,-94.6128,38.84258,10,fad65865-34ea-41f4-b552-69a9939e7dd9,10,16049,BL04-Kenneth Rd @ Blue River,,BL04-Kenneth Rd @ Blue River <small>(16049)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL04-Kenneth Rd @ Blue River <small>(16049)</small></div>",169.525,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,10,Feature,Point,-94.5855265,38.8594867,4425,cd21b231-53c1-4549-a2ae-d3701a5fe2f1,4425,16306,BL05-Prospect &amp; Hwy 150,,BL05-Prospect &amp; Hwy 150 <small>(16306)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL05-Prospect &amp; Hwy 150 <small>(16306)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,11,Feature,Point,-94.5710115,38.9252317,4362,ef76ff7a-1e12-4334-817e-53eb2fa2c6b6,4362,16307,BL06-Red Bridge @ Blue River,,BL06-Red Bridge @ Blue River <small>(16307)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL06-Red Bridge @ Blue River <small>(16307)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,12,Feature,Point,-94.5260081,38.9314973,4419,8c74d5df-15ed-43bf-b090-3992df8f04f1,4419,16308,BL07-Hickman Mills Dr &amp; I-470,,BL07-Hickman Mills Dr &amp; I-470 <small>(16308)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL07-Hickman Mills Dr &amp; I-470 <small>(16308)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,13,Feature,Point,-94.538501,38.9538978,4420,392eec63-66ed-4c4b-a432-496679756194,4420,16309,BL08-Bannister &amp; Hwy 71,,BL08-Bannister &amp; Hwy 71 <small>(16309)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL08-Bannister &amp; Hwy 71 <small>(16309)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,14,Feature,Point,-94.5483758,38.9727116,4369,fd1765db-8649-4d8b-abfb-f1c99a23c094,4369,16310,BL09-85th @ Blue River,,BL09-85th @ Blue River <small>(16310)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL09-85th @ Blue River <small>(16310)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,15,Feature,Point,-94.5241348,39.0142745,4364,8e7db8fe-c28e-4d3a-a098-2393b378b23f,4364,16312,BL11-63rd @ Blue River,,BL11-63rd @ Blue River <small>(16312)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL11-63rd @ Blue River <small>(16312)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,16,Feature,Point,-94.5226206,39.0374053,4371,73a5da52-807f-4b57-9dba-3463b417408b,4371,16313,BL12-Colorado Ave @ Blue River,,BL12-Colorado Ave @ Blue River <small>(16313)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL12-Colorado Ave @ Blue River <small>(16313)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,17,Feature,Point,-94.476568,39.0366338,4386,08b6bde1-cdd9-4b8c-b0d5-37ff8c8d2eee,4386,16314,BL13-Blue Ridge Cutoff @ Round Grove Creek,,BL13-Blue Ridge Cutoff @ Round Grove Creek <small>(16314)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL13-Blue Ridge Cutoff @ Round Grove Creek <small>(16314)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,18,Feature,Point,-94.4785829,39.0386493,4387,5bb41ef3-8ab2-46c3-a061-903c01f6055a,4387,16315,BL14-Raytown Rd @ Trib 1 Round Grove Creek,,BL14-Raytown Rd @ Trib 1 Round Grove Creek <small>(16315)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL14-Raytown Rd @ Trib 1 Round Grove Creek <small>(16315)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,19,Feature,Point,-94.4928498,39.0444644,4388,a39ae34d-fe94-48ba-88d5-863ae23dfc68,4388,16316,BL15-KC Animal Shelter @ Round Grove Creek,,BL15-KC Animal Shelter @ Round Grove Creek <small>(16316)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL15-KC Animal Shelter @ Round Grove Creek <small>(16316)</small></div>",Century Towers A2,26,,1771345008,1,,0
