Reading,Receive,Value,Unit,Data Quality
05/29/2015 07:18:14 AM,07/27/2015 02:22:26 PM,0.04,in,A
05/29/2015 07:17:31 AM,07/27/2015 02:22:26 PM,0.04,in,A
05/29/2015 07:16:49 AM,07/27/2015 02:22:26 PM,0.04,in,A
05/29/2015 07:16:06 AM,07/27/2015 02:22:26 PM,0.04,in,A
05/29/2015 07:15:24 AM,07/27/2015 02:22:26 PM,0.04,in,A
05/29/2015 07:14:41 AM,07/27/2015 02:22:26 PM,0.04,in,A
05/29/2015 07:13:59 AM,07/27/2015 02:22:26 PM,0.04,in,A
05/22/2015 04:20:47 AM,07/27/2015 02:22:26 PM,0.00,in,A
05/21/2015 04:22:47 PM,07/27/2015 02:22:26 PM,0.12,in,A
05/20/2015 04:26:49 PM,07/27/2015 02:22:26 PM,0.00,in,A
05/20/2015 10:19:17 AM,07/27/2015 02:22:26 PM,0.12,in,AN
05/20/2015 10:18:34 AM,07/27/2015 02:22:25 PM,0.00,in,A
05/20/2015 10:16:14 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 10:15:53 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 09:54:29 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 09:32:44 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 09:32:00 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 09:31:16 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 09:30:32 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 09:29:49 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 09:29:05 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 09:28:21 AM,07/27/2015 02:22:25 PM,0.04,in,A
05/20/2015 09:27:37 AM,07/27/2015 02:22:24 PM,0.04,in,A
05/20/2015 09:26:54 AM,07/27/2015 02:22:24 PM,0.08,in,A
05/20/2015 09:25:26 AM,07/27/2015 02:22:24 PM,0.04,in,A
05/20/2015 09:24:43 AM,07/27/2015 02:22:24 PM,0.04,in,A
05/20/2015 09:23:59 AM,07/27/2015 02:22:24 PM,0.04,in,A
05/20/2015 09:23:15 AM,07/27/2015 02:22:24 PM,0.04,in,A
05/20/2015 09:22:31 AM,07/27/2015 02:22:24 PM,0.04,in,A
05/20/2015 09:22:04 AM,07/27/2015 02:22:24 PM,0.04,in,A
05/16/2015 08:11:30 PM,07/27/2015 02:22:24 PM,0.08,in,A
05/14/2015 02:34:42 AM,07/27/2015 02:22:24 PM,0.16,in,A
05/11/2015 11:37:59 AM,07/27/2015 02:22:24 PM,0.00,in,A
05/10/2015 11:39:59 PM,07/27/2015 02:22:23 PM,0.08,in,A
05/08/2015 11:50:04 AM,07/27/2015 02:22:23 PM,0.00,in,A
05/08/2015 04:26:00 AM,07/27/2015 02:22:23 PM,0.04,in,A
05/08/2015 04:07:09 AM,07/27/2015 02:22:23 PM,0.04,in,A
05/08/2015 03:56:39 AM,07/27/2015 02:22:23 PM,0.04,in,A
05/08/2015 03:42:37 AM,07/27/2015 02:22:23 PM,0.04,in,A
05/08/2015 03:31:05 AM,07/27/2015 02:22:23 PM,0.04,in,A
05/08/2015 03:11:00 AM,07/27/2015 02:22:23 PM,0.04,in,A
05/07/2015 11:52:05 PM,07/27/2015 02:22:23 PM,0.00,in,A
05/07/2015 10:19:16 PM,07/27/2015 02:22:23 PM,0.04,in,A
05/07/2015 09:55:29 PM,07/27/2015 02:22:23 PM,0.04,in,A
05/07/2015 09:10:08 PM,07/27/2015 02:22:23 PM,0.04,in,A
05/07/2015 08:53:37 PM,07/27/2015 02:22:22 PM,0.04,in,A
05/07/2015 08:28:19 PM,07/27/2015 02:22:22 PM,0.04,in,A
04/30/2015 03:25:20 AM,07/27/2015 02:22:22 PM,0.00,in,A
04/28/2015 03:31:24 PM,07/27/2015 02:22:22 PM,0.00,in,A
04/28/2015 03:33:26 AM,07/27/2015 02:22:22 PM,0.00,in,A
04/27/2015 03:37:29 AM,07/27/2015 02:22:22 PM,0.00,in,A
04/26/2015 03:39:30 PM,07/27/2015 02:22:22 PM,0.00,in,A
04/25/2015 03:43:33 PM,07/27/2015 02:22:22 PM,0.00,in,A
04/25/2015 12:33:08 PM,07/27/2015 02:22:22 PM,0.04,in,A
04/25/2015 12:04:50 PM,07/27/2015 02:22:22 PM,0.04,in,AN
04/25/2015 07:07:25 AM,07/27/2015 02:22:22 PM,0.04,in,A
04/25/2015 07:05:52 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 07:04:31 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 07:02:52 AM,07/27/2015 02:22:21 PM,0.08,in,A
04/25/2015 06:55:47 AM,07/27/2015 02:22:21 PM,0.08,in,A
04/25/2015 06:44:19 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:43:33 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:42:44 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:39:53 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:38:19 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:35:02 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:33:21 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:31:56 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:30:47 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:29:17 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:28:14 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:26:22 AM,07/27/2015 02:22:21 PM,0.08,in,A
04/25/2015 06:23:41 AM,07/27/2015 02:22:21 PM,0.04,in,A
04/25/2015 06:10:07 AM,07/27/2015 02:22:20 PM,0.04,in,A
04/25/2015 03:57:00 AM,07/27/2015 02:22:20 PM,0.04,in,A
04/25/2015 03:45:35 AM,07/27/2015 02:22:20 PM,0.00,in,A
