Reading,Receive,Value,Unit,Data Quality
12/31/2023 11:46:55 AM,12/31/2023 11:47:25 AM,0.00,in,A
12/30/2023 11:52:56 AM,12/30/2023 11:53:25 AM,0.00,in,A
12/29/2023 11:55:54 PM,12/29/2023 11:56:25 PM,0.00,in,A
12/29/2023 11:58:56 AM,12/29/2023 11:59:25 AM,0.00,in,A
12/28/2023 12:04:57 PM,12/28/2023 12:05:25 PM,0.00,in,A
12/28/2023 12:07:56 AM,12/28/2023 12:08:25 AM,0.00,in,A
12/27/2023 01:20:30 PM,12/27/2023 01:20:55 PM,0.04,in,A
12/27/2023 12:59:33 PM,12/27/2023 12:59:55 PM,0.04,in,A
12/27/2023 12:32:14 PM,12/27/2023 12:32:25 PM,0.04,in,A
12/27/2023 12:13:55 PM,12/27/2023 12:14:25 PM,0.04,in,A
12/27/2023 12:10:57 PM,12/27/2023 12:11:25 PM,0.00,in,A
12/27/2023 11:36:23 AM,12/27/2023 11:36:25 AM,0.04,in,A
12/27/2023 11:10:49 AM,12/27/2023 11:10:55 AM,0.00,in,A
12/26/2023 10:47:33 PM,12/26/2023 10:47:55 PM,0.08,in,A
12/26/2023 04:33:51 PM,12/26/2023 04:33:55 PM,0.04,in,A
12/26/2023 12:20:00 AM,12/26/2023 12:20:25 AM,0.00,in,A
12/25/2023 12:23:00 PM,12/25/2023 12:23:25 PM,0.00,in,A
12/25/2023 02:40:08 AM,12/25/2023 02:43:34 AM,0.04,in,A
12/25/2023 01:49:25 AM,12/25/2023 01:49:55 AM,0.04,in,A
12/25/2023 01:11:48 AM,12/25/2023 01:23:51 AM,0.04,in,A
12/25/2023 12:42:00 AM,12/25/2023 12:57:22 AM,0.04,in,A
12/25/2023 12:26:00 AM,12/25/2023 12:38:40 AM,0.00,in,A
12/25/2023 12:10:52 AM,12/25/2023 12:11:53 AM,0.04,in,A
12/24/2023 11:56:32 PM,12/24/2023 11:58:47 PM,0.04,in,A
12/24/2023 11:40:20 PM,12/24/2023 11:44:09 PM,0.04,in,A
12/24/2023 11:30:22 PM,12/24/2023 11:33:35 PM,0.04,in,A
12/24/2023 11:18:14 PM,12/24/2023 11:24:49 PM,0.04,in,A
12/24/2023 11:08:47 PM,12/24/2023 11:11:38 PM,0.04,in,A
12/24/2023 10:58:24 PM,12/24/2023 11:07:03 PM,0.04,in,A
12/24/2023 10:49:39 PM,12/24/2023 10:55:55 PM,0.04,in,A
12/24/2023 10:43:03 PM,12/24/2023 10:43:25 PM,0.04,in,A
12/24/2023 10:38:27 PM,12/24/2023 10:42:19 PM,0.08,in,A
12/24/2023 10:28:13 PM,12/24/2023 10:28:38 PM,0.04,in,A
12/24/2023 10:21:48 PM,12/24/2023 10:21:55 PM,0.08,in,A
12/24/2023 10:08:47 PM,12/24/2023 10:08:55 PM,0.04,in,A
12/24/2023 10:01:51 PM,12/24/2023 10:01:55 PM,0.04,in,A
12/24/2023 09:42:26 PM,12/24/2023 09:42:55 PM,0.04,in,A
12/24/2023 09:30:26 PM,12/24/2023 09:33:18 PM,0.04,in,A
12/24/2023 09:25:44 PM,12/24/2023 09:25:55 PM,0.04,in,A
12/24/2023 09:13:54 PM,12/24/2023 09:13:55 PM,0.04,in,A
12/24/2023 08:43:39 PM,12/24/2023 08:43:55 PM,0.04,in,A
12/24/2023 08:38:10 PM,12/24/2023 08:38:25 PM,0.04,in,A
12/24/2023 08:17:06 PM,12/24/2023 08:17:25 PM,0.04,in,A
12/24/2023 07:54:12 PM,12/24/2023 07:54:25 PM,0.04,in,A
12/24/2023 07:07:20 PM,12/24/2023 07:07:25 PM,0.04,in,A
12/24/2023 06:35:46 PM,12/24/2023 06:35:55 PM,0.04,in,A
12/24/2023 05:24:09 PM,12/24/2023 05:24:25 PM,0.04,in,A
12/24/2023 03:26:03 PM,12/24/2023 03:26:25 PM,0.04,in,A
12/24/2023 02:32:37 PM,12/24/2023 02:34:00 PM,0.04,in,A
12/24/2023 01:50:18 PM,12/24/2023 01:50:25 PM,0.04,in,A
12/24/2023 01:19:02 PM,12/24/2023 01:19:25 PM,0.04,in,A
12/24/2023 12:33:30 PM,12/24/2023 12:33:55 PM,0.04,in,A
12/24/2023 12:29:01 PM,12/24/2023 12:29:25 PM,0.00,in,A
