Reading,Receive,Value,Unit,Data Quality
08/08/2025 04:13:39 AM,08/08/2025 04:13:55 AM,0.00,in,A
08/07/2025 04:13:37 PM,08/07/2025 04:13:55 PM,0.00,in,A
08/07/2025 04:13:37 AM,08/07/2025 04:13:55 AM,0.00,in,A
08/06/2025 04:13:36 PM,08/06/2025 04:13:55 PM,0.00,in,A
08/06/2025 04:13:35 AM,08/06/2025 04:13:55 AM,0.00,in,A
08/05/2025 04:13:34 PM,08/05/2025 04:13:55 PM,0.00,in,A
08/05/2025 04:13:34 AM,08/05/2025 04:13:55 AM,0.00,in,A
08/04/2025 04:13:33 PM,08/04/2025 04:13:55 PM,0.00,in,A
08/04/2025 04:13:32 AM,08/04/2025 04:13:55 AM,0.00,in,A
08/03/2025 04:13:31 PM,08/03/2025 04:13:55 PM,0.00,in,A
08/03/2025 04:13:31 AM,08/03/2025 04:13:55 AM,0.00,in,A
08/02/2025 04:13:30 PM,08/02/2025 04:13:55 PM,0.00,in,A
08/02/2025 04:13:29 AM,08/02/2025 04:13:55 AM,0.00,in,A
08/01/2025 04:13:29 PM,08/01/2025 04:13:55 PM,0.00,in,A
08/01/2025 04:13:28 AM,08/01/2025 04:13:55 AM,0.00,in,A
07/31/2025 04:13:27 PM,07/31/2025 04:13:55 PM,0.00,in,A
07/31/2025 04:13:26 AM,07/31/2025 04:13:55 AM,0.00,in,A
07/30/2025 04:13:26 PM,07/30/2025 04:13:55 PM,0.00,in,A
07/30/2025 06:28:19 AM,07/30/2025 06:28:25 AM,0.04,in,A
07/30/2025 06:25:56 AM,07/30/2025 06:26:25 AM,0.04,in,A
07/30/2025 06:17:03 AM,07/30/2025 06:17:25 AM,0.04,in,A
07/30/2025 04:13:25 AM,07/30/2025 04:13:55 AM,0.00,in,A
07/29/2025 04:13:24 PM,07/29/2025 04:13:25 PM,0.00,in,A
07/29/2025 04:13:23 AM,07/29/2025 04:13:25 AM,0.00,in,A
07/28/2025 04:13:22 PM,07/28/2025 04:13:25 PM,0.00,in,A
07/28/2025 04:13:22 AM,07/28/2025 04:13:25 AM,0.00,in,A
07/27/2025 04:13:21 PM,07/27/2025 04:13:25 PM,0.00,in,A
07/27/2025 04:13:20 AM,07/27/2025 04:13:25 AM,0.00,in,A
07/26/2025 04:13:19 PM,07/26/2025 04:13:25 PM,0.00,in,A
07/26/2025 04:13:18 AM,07/26/2025 04:13:25 AM,0.00,in,AN
07/26/2025 02:48:56 AM,07/26/2025 02:49:25 AM,0.04,in,A
07/26/2025 02:47:56 AM,07/26/2025 02:48:25 AM,0.04,in,A
07/26/2025 02:46:36 AM,07/26/2025 02:46:55 AM,0.07,in,A
07/26/2025 02:44:06 AM,07/26/2025 02:44:25 AM,0.04,in,A
07/26/2025 02:41:33 AM,07/26/2025 02:41:55 AM,0.04,in,A
07/25/2025 07:41:57 PM,07/25/2025 07:42:25 PM,0.04,in,A
07/25/2025 06:16:18 PM,07/25/2025 06:16:25 PM,0.04,in,A
07/25/2025 04:13:18 PM,07/25/2025 04:13:25 PM,0.00,in,A
07/25/2025 06:45:40 AM,07/25/2025 06:45:55 AM,0.04,in,A
07/25/2025 06:23:17 AM,07/25/2025 06:23:25 AM,0.04,in,A
07/25/2025 04:54:19 AM,07/25/2025 04:54:25 AM,0.04,in,A
07/25/2025 04:46:44 AM,07/25/2025 04:46:55 AM,0.04,in,A
07/25/2025 04:42:33 AM,07/25/2025 04:42:55 AM,0.04,in,A
07/25/2025 04:38:24 AM,07/25/2025 04:38:25 AM,0.04,in,A
07/25/2025 04:36:28 AM,07/25/2025 04:36:55 AM,0.04,in,A
07/25/2025 04:33:55 AM,07/25/2025 04:34:25 AM,0.04,in,A
07/25/2025 04:30:33 AM,07/25/2025 04:30:55 AM,0.04,in,A
07/25/2025 04:13:17 AM,07/25/2025 04:13:25 AM,0.00,in,A
07/25/2025 03:26:07 AM,07/25/2025 03:26:25 AM,0.04,in,A
07/25/2025 03:13:34 AM,07/25/2025 03:13:55 AM,0.04,in,A
07/25/2025 03:10:41 AM,07/25/2025 03:10:55 AM,0.04,in,A
07/25/2025 03:09:41 AM,07/25/2025 03:09:55 AM,0.03,in,A
07/25/2025 03:08:41 AM,07/25/2025 03:08:55 AM,0.04,in,A
07/25/2025 03:07:41 AM,07/25/2025 03:07:55 AM,0.08,in,A
07/25/2025 03:06:44 AM,07/25/2025 03:06:55 AM,0.04,in,A
07/25/2025 03:05:44 AM,07/25/2025 03:05:56 AM,0.04,in,A
07/25/2025 03:04:44 AM,07/25/2025 03:04:55 AM,0.04,in,A
