time,event_raw_value_str,event_value,event_unit,hourly_value
2012-01-02 01:37:41+00:00,0.0,0.0,mm,
2012-01-02 13:37:42+00:00,0.0,0.0,mm,
2012-01-03 01:37:43+00:00,0.0,0.0,mm,
2012-01-04 01:37:44+00:00,0.0,0.0,mm,
2012-01-04 13:37:45+00:00,0.0,0.0,mm,
2012-01-05 01:37:46+00:00,0.0,0.0,mm,
2012-01-05 13:37:46+00:00,0.0,0.0,mm,
2012-01-06 01:37:47+00:00,0.0,0.0,mm,
2012-01-06 13:37:48+00:00,0.0,0.0,mm,
2012-01-07 01:37:48+00:00,0.0,0.0,mm,
2012-01-07 13:37:49+00:00,0.0,0.0,mm,
2012-01-08 01:37:50+00:00,0.0,0.0,mm,
2012-01-08 13:37:51+00:00,0.0,0.0,mm,
2012-01-09 01:37:51+00:00,0.0,0.0,mm,
2012-01-09 13:37:52+00:00,0.0,0.0,mm,
2012-01-10 01:37:53+00:00,0.0,0.0,mm,
2012-01-10 13:37:53+00:00,0.0,0.0,mm,
2012-01-11 01:37:54+00:00,0.0,0.0,mm,
2012-01-11 13:37:55+00:00,0.0,0.0,mm,
2012-01-12 01:37:56+00:00,0.0,0.0,mm,
2012-01-12 13:37:57+00:00,0.0,0.0,mm,
2012-01-13 01:38:27+00:00,0.0,0.0,mm,
2012-01-13 13:37:58+00:00,0.0,0.0,mm,
2012-01-14 01:37:59+00:00,0.0,0.0,mm,
2012-01-14 13:38:00+00:00,0.0,0.0,mm,
2012-01-15 01:38:01+00:00,0.0,0.0,mm,
2012-01-15 13:38:02+00:00,0.0,0.0,mm,
2012-01-16 01:38:02+00:00,0.0,0.0,mm,
2012-01-16 13:38:03+00:00,0.0,0.0,mm,
2012-01-17 01:38:04+00:00,0.0,0.0,mm,
2012-01-17 13:38:04+00:00,0.0,0.0,mm,
2012-01-18 01:38:05+00:00,0.0,0.0,mm,
2012-01-18 13:38:06+00:00,0.0,0.0,mm,
2012-01-19 01:38:07+00:00,0.0,0.0,mm,
2012-01-19 13:38:08+00:00,0.0,0.0,mm,
2012-01-20 01:38:09+00:00,0.0,0.0,mm,
2012-01-20 13:38:10+00:00,0.0,0.0,mm,
2012-01-21 01:38:10+00:00,0.0,0.0,mm,
2012-01-21 13:38:11+00:00,0.0,0.0,mm,
2012-01-22 01:38:12+00:00,0.0,0.0,mm,
2012-01-22 13:38:13+00:00,0.0,0.0,mm,
2012-01-22 18:41:38+00:00,0.04,1.016,mm,
2012-01-22 18:47:51+00:00,0.04,1.016,mm,
2012-01-22 18:52:15+00:00,0.04,1.016,mm,
2012-01-22 19:01:12+00:00,0.04,1.016,mm,
2012-01-23 01:38:14+00:00,0.0,0.0,mm,
2012-01-23 13:38:15+00:00,0.0,0.0,mm,
2012-01-24 01:38:15+00:00,0.0,0.0,mm,
2012-01-24 13:38:16+00:00,0.0,0.0,mm,
2012-01-25 01:38:17+00:00,0.0,0.0,mm,
2012-01-25 13:38:18+00:00,0.0,0.0,mm,
2012-01-26 13:38:19+00:00,0.0,0.0,mm,
2012-01-27 01:38:20+00:00,0.0,0.0,mm,
2012-01-27 13:38:21+00:00,0.0,0.0,mm,
2012-01-28 01:38:21+00:00,0.0,0.0,mm,
2012-01-29 01:38:23+00:00,0.0,0.0,mm,
2012-01-29 13:38:24+00:00,0.0,0.0,mm,
2012-01-30 01:38:24+00:00,0.0,0.0,mm,
2012-01-30 13:38:25+00:00,0.0,0.0,mm,
2012-01-31 01:38:26+00:00,0.0,0.0,mm,
2012-01-31 13:38:26+00:00,0.0,0.0,mm,
2012-02-01 01:38:27+00:00,0.0,0.0,mm,
2012-02-01 13:38:28+00:00,0.0,0.0,mm,
2012-02-02 01:38:28+00:00,0.0,0.0,mm,
2012-02-02 13:38:29+00:00,0.0,0.0,mm,
2012-02-03 01:38:30+00:00,0.0,0.0,mm,
2012-02-03 06:36:42+00:00,0.04,1.016,mm,
2012-02-03 06:43:19+00:00,0.04,1.016,mm,
2012-02-03 06:46:58+00:00,0.04,1.016,mm,
2012-02-03 06:50:23+00:00,0.08,2.032,mm,
2012-02-03 06:51:33+00:00,0.04,1.016,mm,
2012-02-03 06:55:17+00:00,0.04,1.016,mm,
2012-02-03 07:00:10+00:00,0.04,1.016,mm,
2012-02-03 07:07:09+00:00,0.04,1.016,mm,
2012-02-03 07:09:19+00:00,0.04,1.016,mm,
2012-02-03 07:12:47+00:00,0.04,1.016,mm,
2012-02-03 07:20:01+00:00,0.04,1.016,mm,
2012-02-03 07:23:15+00:00,0.04,1.016,mm,
2012-02-03 07:29:38+00:00,0.04,1.016,mm,
2012-02-03 07:34:48+00:00,0.04,1.016,mm,
2012-02-03 07:46:10+00:00,0.04,1.016,mm,
2012-02-03 07:52:12+00:00,0.04,1.016,mm,
2012-02-03 08:01:04+00:00,0.04,1.016,mm,
2012-02-03 08:04:33+00:00,0.04,1.016,mm,
2012-02-03 08:10:18+00:00,0.04,1.016,mm,
2012-02-03 08:17:18+00:00,0.04,1.016,mm,
2012-02-03 08:33:28+00:00,0.08,2.032,mm,
