time,event_raw_value_str,event_value,event_unit
2013-06-27 22:49:16+00:00,0.04,1.016,mm
2013-06-27 22:49:48+00:00,0.04,1.016,mm
2013-06-27 22:51:18+00:00,0.08,2.032,mm
2013-06-27 23:04:12+00:00,0.04,1.016,mm
2013-06-28 06:12:55+00:00,0.04,1.016,mm
2013-06-28 11:02:16+00:00,0.0,0.0,mm
2013-06-28 23:00:20+00:00,0.0,0.0,mm
2013-06-29 10:58:24+00:00,0.0,0.0,mm
2013-06-29 22:56:28+00:00,0.0,0.0,mm
2013-06-30 10:54:32+00:00,0.0,0.0,mm
2013-06-30 22:52:36+00:00,0.0,0.0,mm
2013-07-01 10:50:40+00:00,0.0,0.0,mm
2013-07-01 22:48:44+00:00,0.0,0.0,mm
2013-07-02 10:46:48+00:00,0.0,0.0,mm
2013-07-02 22:44:52+00:00,0.0,0.0,mm
2013-07-03 10:42:56+00:00,0.0,0.0,mm
2013-07-03 22:41:00+00:00,0.0,0.0,mm
2013-07-04 10:39:04+00:00,0.0,0.0,mm
2013-07-04 22:37:08+00:00,0.0,0.0,mm
2013-07-05 10:35:12+00:00,0.0,0.0,mm
2013-07-05 22:33:16+00:00,0.0,0.0,mm
2013-07-06 10:31:20+00:00,0.0,0.0,mm
2013-07-06 22:29:24+00:00,0.0,0.0,mm
2013-07-07 01:18:33+00:00,0.04,1.016,mm
2013-07-07 01:55:59+00:00,0.04,1.016,mm
2013-07-07 10:27:28+00:00,0.0,0.0,mm
2013-07-07 22:25:32+00:00,0.0,0.0,mm
2013-07-08 22:21:40+00:00,0.0,0.0,mm
2013-07-09 10:19:44+00:00,0.0,0.0,mm
2013-07-09 22:17:48+00:00,0.0,0.0,mm
2013-07-10 10:15:52+00:00,0.0,0.0,mm
2013-07-10 22:13:56+00:00,0.0,0.0,mm
2013-07-11 10:12:00+00:00,0.0,0.0,mm
2013-07-11 22:10:04+00:00,0.0,0.0,mm
2013-07-12 10:08:08+00:00,0.0,0.0,mm
2013-07-12 22:06:12+00:00,0.0,0.0,mm
2013-07-13 10:04:16+00:00,0.0,0.0,mm
2013-07-13 22:02:20+00:00,0.0,0.0,mm
2013-07-14 10:00:24+00:00,0.0,0.0,mm
2013-07-14 21:58:28+00:00,0.0,0.0,mm
2013-07-15 09:56:32+00:00,0.0,0.0,mm
2013-07-15 21:54:36+00:00,0.0,0.0,mm
2013-07-16 09:52:40+00:00,0.0,0.0,mm
2013-07-16 21:50:44+00:00,0.0,0.0,mm
2013-07-17 09:48:48+00:00,0.0,0.0,mm
2013-07-17 21:46:52+00:00,0.0,0.0,mm
2013-07-18 09:44:56+00:00,0.0,0.0,mm
2013-07-18 21:43:01+00:00,0.0,0.0,mm
2013-07-19 09:41:04+00:00,0.0,0.0,mm
2013-07-19 21:39:09+00:00,0.0,0.0,mm
2013-07-20 09:37:13+00:00,0.0,0.0,mm
2013-07-20 21:35:17+00:00,0.0,0.0,mm
2013-07-21 09:33:20+00:00,0.0,0.0,mm
2013-07-21 21:31:25+00:00,0.0,0.0,mm
2013-07-22 09:29:28+00:00,0.0,0.0,mm
2013-07-22 21:27:33+00:00,0.0,0.0,mm
2013-07-23 09:25:36+00:00,0.0,0.0,mm
2013-07-23 21:23:40+00:00,0.0,0.0,mm
2013-07-24 09:21:44+00:00,0.0,0.0,mm
2013-07-24 21:19:49+00:00,0.0,0.0,mm
2013-07-25 09:17:52+00:00,0.0,0.0,mm
2013-07-25 16:49:00+00:00,0.04,1.016,mm
2013-07-25 17:13:18+00:00,0.04,1.016,mm
2013-07-25 21:15:56+00:00,0.0,0.0,mm
2013-07-25 21:51:05+00:00,0.04,1.016,mm
2013-07-25 22:20:32+00:00,0.04,1.016,mm
2013-07-26 06:06:53+00:00,0.04,1.016,mm
2013-07-26 08:34:00+00:00,0.04,1.016,mm
2013-07-26 09:00:37+00:00,0.04,1.016,mm
2013-07-26 09:14:00+00:00,0.0,0.0,mm
2013-07-26 21:12:04+00:00,0.0,0.0,mm
2013-07-27 09:10:08+00:00,0.0,0.0,mm
2013-07-27 21:08:12+00:00,0.0,0.0,mm
2013-07-28 09:06:16+00:00,0.0,0.0,mm
2013-07-28 21:04:20+00:00,0.0,0.0,mm
2013-07-29 06:31:08+00:00,0.04,1.016,mm
2013-07-29 07:00:18+00:00,0.04,1.016,mm
2013-07-29 07:16:09+00:00,0.04,1.016,mm
2013-07-29 07:57:21+00:00,0.04,1.016,mm
2013-07-29 09:02:24+00:00,0.0,0.0,mm
2013-07-29 10:57:08+00:00,0.04,1.016,mm
2013-07-29 12:52:15+00:00,0.04,1.016,mm
2013-07-29 13:34:12+00:00,0.04,1.016,mm
2013-07-29 13:59:03+00:00,0.04,1.016,mm
2013-07-29 14:02:30+00:00,0.04,1.016,mm
2013-07-29 14:04:33+00:00,0.04,1.016,mm
2013-07-29 14:05:45+00:00,0.04,1.016,mm
2013-07-29 14:06:52+00:00,0.04,1.016,mm
2013-07-29 14:10:55+00:00,0.04,1.016,mm
2013-07-29 15:16:00+00:00,0.04,1.016,mm
2013-07-29 16:28:11+00:00,0.04,1.016,mm
2013-07-29 17:52:01+00:00,0.04,1.016,mm
2013-07-29 20:11:27+00:00,0.04,1.016,mm
2013-07-29 20:29:08+00:00,0.04,1.016,mm
2013-07-29 20:57:54+00:00,0.04,1.016,mm
2013-07-29 21:00:28+00:00,0.0,0.0,mm
2013-07-30 05:59:10+00:00,0.04,1.016,mm
2013-07-30 06:09:16+00:00,0.04,1.016,mm
2013-07-30 06:12:14+00:00,0.04,1.016,mm
2013-07-30 06:14:46+00:00,0.04,1.016,mm
2013-07-30 06:17:29+00:00,0.04,1.016,mm
2013-07-30 06:20:15+00:00,0.04,1.016,mm
2013-07-30 06:23:48+00:00,0.04,1.016,mm
2013-07-30 06:30:50+00:00,0.04,1.016,mm
2013-07-30 06:38:01+00:00,0.04,1.016,mm
2013-07-30 06:40:22+00:00,0.04,1.016,mm
2013-07-30 06:48:14+00:00,0.04,1.016,mm
2013-07-30 07:02:56+00:00,0.04,1.016,mm
2013-07-30 08:58:31+00:00,0.0,0.0,mm
2013-07-31 07:39:15+00:00,0.0,0.0,mm
2013-07-31 19:37:19+00:00,0.0,0.0,mm
2013-08-01 07:35:23+00:00,0.0,0.0,mm
2013-08-01 19:33:27+00:00,0.0,0.0,mm
2013-08-02 03:01:49+00:00,0.04,1.016,mm
2013-08-02 03:39:25+00:00,0.04,1.016,mm
2013-08-02 04:11:48+00:00,0.04,1.016,mm
2013-08-02 04:33:28+00:00,0.04,1.016,mm
2013-08-02 04:53:27+00:00,0.04,1.016,mm
2013-08-02 05:08:55+00:00,0.04,1.016,mm
2013-08-02 05:28:00+00:00,0.04,1.016,mm
2013-08-02 05:41:53+00:00,0.04,1.016,mm
2013-08-02 05:55:06+00:00,0.04,1.016,mm
2013-08-02 06:04:10+00:00,0.04,1.016,mm
2013-08-02 06:13:09+00:00,0.04,1.016,mm
2013-08-02 06:28:41+00:00,0.04,1.016,mm
2013-08-02 07:31:31+00:00,0.0,0.0,mm
2013-08-02 19:29:35+00:00,0.0,0.0,mm
2013-08-03 07:27:39+00:00,0.0,0.0,mm
2013-08-03 19:25:43+00:00,0.0,0.0,mm
2013-08-04 07:23:47+00:00,0.0,0.0,mm
2013-08-04 09:45:32+00:00,0.04,1.016,mm
2013-08-04 09:54:57+00:00,0.04,1.016,mm
2013-08-04 10:05:57+00:00,0.04,1.016,mm
2013-08-04 10:15:19+00:00,0.04,1.016,mm
2013-08-04 10:24:10+00:00,0.04,1.016,mm
2013-08-04 10:32:14+00:00,0.04,1.016,mm
2013-08-04 10:40:28+00:00,0.04,1.016,mm
