bin_start_utc,bin_end_utc,depth_5min_mm,mm_per_hr
2023-08-22 21:15:00+00:00,2023-08-22 21:20:00+00:00,0.0,0.0
2023-08-23 09:15:00+00:00,2023-08-23 09:20:00+00:00,0.0,0.0
2023-08-23 21:15:00+00:00,2023-08-23 21:20:00+00:00,0.0,0.0
2023-08-24 09:15:00+00:00,2023-08-24 09:20:00+00:00,0.0,0.0
2023-08-24 21:15:00+00:00,2023-08-24 21:20:00+00:00,0.0,0.0
2023-08-25 09:15:00+00:00,2023-08-25 09:20:00+00:00,0.0,0.0
2023-08-25 21:15:00+00:00,2023-08-25 21:20:00+00:00,0.0,0.0
2023-08-26 06:55:00+00:00,2023-08-26 07:00:00+00:00,1.016,12.192
2023-08-26 09:15:00+00:00,2023-08-26 09:20:00+00:00,0.0,0.0
2023-08-26 21:15:00+00:00,2023-08-26 21:20:00+00:00,0.0,0.0
2023-08-27 09:15:00+00:00,2023-08-27 09:20:00+00:00,0.0,0.0
2023-08-27 21:15:00+00:00,2023-08-27 21:20:00+00:00,0.0,0.0
2023-08-28 09:15:00+00:00,2023-08-28 09:20:00+00:00,0.0,0.0
2023-08-28 21:15:00+00:00,2023-08-28 21:20:00+00:00,0.0,0.0
2023-08-29 09:15:00+00:00,2023-08-29 09:20:00+00:00,0.0,0.0
2023-08-29 21:15:00+00:00,2023-08-29 21:20:00+00:00,0.0,0.0
2023-08-30 09:15:00+00:00,2023-08-30 09:20:00+00:00,0.0,0.0
2023-08-30 21:15:00+00:00,2023-08-30 21:20:00+00:00,0.0,0.0
2023-08-31 09:15:00+00:00,2023-08-31 09:20:00+00:00,0.0,0.0
2023-08-31 21:15:00+00:00,2023-08-31 21:20:00+00:00,0.0,0.0
2023-09-01 09:15:00+00:00,2023-09-01 09:20:00+00:00,0.0,0.0
2023-09-01 21:15:00+00:00,2023-09-01 21:20:00+00:00,0.0,0.0
2023-09-02 09:15:00+00:00,2023-09-02 09:20:00+00:00,0.0,0.0
2023-09-02 21:15:00+00:00,2023-09-02 21:20:00+00:00,0.0,0.0
2023-09-03 09:15:00+00:00,2023-09-03 09:20:00+00:00,0.0,0.0
2023-09-03 21:15:00+00:00,2023-09-03 21:20:00+00:00,0.0,0.0
2023-09-04 09:15:00+00:00,2023-09-04 09:20:00+00:00,0.0,0.0
2023-09-04 21:15:00+00:00,2023-09-04 21:20:00+00:00,0.0,0.0
2023-09-05 09:15:00+00:00,2023-09-05 09:20:00+00:00,0.0,0.0
2023-09-05 21:15:00+00:00,2023-09-05 21:20:00+00:00,0.0,0.0
2023-09-06 09:15:00+00:00,2023-09-06 09:20:00+00:00,0.0,0.0
2023-09-06 21:15:00+00:00,2023-09-06 21:20:00+00:00,0.0,0.0
2023-09-07 09:15:00+00:00,2023-09-07 09:20:00+00:00,0.0,0.0
2023-09-07 21:15:00+00:00,2023-09-07 21:20:00+00:00,0.0,0.0
2023-09-08 09:15:00+00:00,2023-09-08 09:20:00+00:00,0.0,0.0
2023-09-08 21:15:00+00:00,2023-09-08 21:20:00+00:00,0.0,0.0
2023-09-09 09:15:00+00:00,2023-09-09 09:20:00+00:00,0.0,0.0
2023-09-09 21:15:00+00:00,2023-09-09 21:20:00+00:00,0.0,0.0
2023-09-10 09:15:00+00:00,2023-09-10 09:20:00+00:00,0.0,0.0
2023-09-10 21:15:00+00:00,2023-09-10 21:20:00+00:00,0.0,0.0
2023-09-11 09:15:00+00:00,2023-09-11 09:20:00+00:00,0.0,0.0
2023-09-11 11:15:00+00:00,2023-09-11 11:20:00+00:00,1.016,12.192
2023-09-11 12:00:00+00:00,2023-09-11 12:05:00+00:00,1.016,12.192
2023-09-11 12:15:00+00:00,2023-09-11 12:20:00+00:00,1.016,12.192
2023-09-11 12:45:00+00:00,2023-09-11 12:50:00+00:00,1.016,12.192
2023-09-11 13:05:00+00:00,2023-09-11 13:10:00+00:00,1.016,12.192
2023-09-11 13:20:00+00:00,2023-09-11 13:25:00+00:00,1.016,12.192
2023-09-11 16:00:00+00:00,2023-09-11 16:05:00+00:00,1.016,12.192
2023-09-11 21:15:00+00:00,2023-09-11 21:20:00+00:00,0.0,0.0
2023-09-12 09:15:00+00:00,2023-09-12 09:20:00+00:00,0.0,0.0
2023-09-12 21:15:00+00:00,2023-09-12 21:20:00+00:00,0.0,0.0
2023-09-13 09:15:00+00:00,2023-09-13 09:20:00+00:00,0.0,0.0
2023-09-13 21:15:00+00:00,2023-09-13 21:20:00+00:00,0.0,0.0
2023-09-14 09:15:00+00:00,2023-09-14 09:20:00+00:00,0.0,0.0
2023-09-14 21:15:00+00:00,2023-09-14 21:20:00+00:00,0.0,0.0
2023-09-15 09:15:00+00:00,2023-09-15 09:20:00+00:00,0.0,0.0
2023-09-15 21:15:00+00:00,2023-09-15 21:20:00+00:00,0.0,0.0
2023-09-16 02:15:00+00:00,2023-09-16 02:20:00+00:00,1.016,12.192
2023-09-16 09:15:00+00:00,2023-09-16 09:20:00+00:00,0.0,0.0
2023-09-16 17:10:00+00:00,2023-09-16 17:15:00+00:00,1.016,12.192
2023-09-16 21:15:00+00:00,2023-09-16 21:20:00+00:00,0.0,0.0
2023-09-17 09:15:00+00:00,2023-09-17 09:20:00+00:00,0.0,0.0
2023-09-17 21:15:00+00:00,2023-09-17 21:20:00+00:00,0.0,0.0
2023-09-18 09:15:00+00:00,2023-09-18 09:20:00+00:00,0.0,0.0
2023-09-18 21:15:00+00:00,2023-09-18 21:20:00+00:00,0.0,0.0
2023-09-19 09:15:00+00:00,2023-09-19 09:20:00+00:00,0.0,0.0
2023-09-19 21:15:00+00:00,2023-09-19 21:20:00+00:00,0.0,0.0
2023-09-20 09:15:00+00:00,2023-09-20 09:20:00+00:00,0.0,0.0
2023-09-20 21:15:00+00:00,2023-09-20 21:20:00+00:00,0.0,0.0
2023-09-21 09:15:00+00:00,2023-09-21 09:20:00+00:00,0.0,0.0
2023-09-21 21:05:00+00:00,2023-09-21 21:10:00+00:00,1.016,12.192
2023-09-21 21:10:00+00:00,2023-09-21 21:15:00+00:00,5.08,60.96
2023-09-21 21:15:00+00:00,2023-09-21 21:20:00+00:00,5.08,60.96
2023-09-21 21:20:00+00:00,2023-09-21 21:25:00+00:00,2.032,24.384
2023-09-21 21:30:00+00:00,2023-09-21 21:35:00+00:00,1.016,12.192
2023-09-22 03:45:00+00:00,2023-09-22 03:50:00+00:00,1.016,12.192
2023-09-22 08:50:00+00:00,2023-09-22 08:55:00+00:00,1.016,12.192
2023-09-22 08:55:00+00:00,2023-09-22 09:00:00+00:00,3.048,36.576
2023-09-22 09:00:00+00:00,2023-09-22 09:05:00+00:00,3.048,36.576
2023-09-22 09:05:00+00:00,2023-09-22 09:10:00+00:00,1.016,12.192
2023-09-22 09:10:00+00:00,2023-09-22 09:15:00+00:00,1.016,12.192
2023-09-22 09:15:00+00:00,2023-09-22 09:20:00+00:00,0.0,0.0
2023-09-22 09:25:00+00:00,2023-09-22 09:30:00+00:00,1.016,12.192
2023-09-22 09:35:00+00:00,2023-09-22 09:40:00+00:00,1.016,12.192
2023-09-22 09:40:00+00:00,2023-09-22 09:45:00+00:00,1.016,12.192
2023-09-22 09:50:00+00:00,2023-09-22 09:55:00+00:00,1.016,12.192
2023-09-22 09:55:00+00:00,2023-09-22 10:00:00+00:00,1.016,12.192
2023-09-22 10:05:00+00:00,2023-09-22 10:10:00+00:00,1.016,12.192
2023-09-22 10:15:00+00:00,2023-09-22 10:20:00+00:00,1.016,12.192
2023-09-22 10:30:00+00:00,2023-09-22 10:35:00+00:00,1.016,12.192
2023-09-22 10:40:00+00:00,2023-09-22 10:45:00+00:00,1.016,12.192
2023-09-22 11:00:00+00:00,2023-09-22 11:05:00+00:00,1.016,12.192
2023-09-22 21:15:00+00:00,2023-09-22 21:20:00+00:00,0.0,0.0
2023-09-23 09:15:00+00:00,2023-09-23 09:20:00+00:00,0.0,0.0
2023-09-23 10:35:00+00:00,2023-09-23 10:40:00+00:00,1.016,12.192
2023-09-23 10:45:00+00:00,2023-09-23 10:50:00+00:00,1.016,12.192
2023-09-23 10:50:00+00:00,2023-09-23 10:55:00+00:00,1.016,12.192
2023-09-23 10:55:00+00:00,2023-09-23 11:00:00+00:00,2.032,24.384
2023-09-23 11:00:00+00:00,2023-09-23 11:05:00+00:00,4.064,48.768
2023-09-23 11:05:00+00:00,2023-09-23 11:10:00+00:00,7.112,85.344
2023-09-23 11:10:00+00:00,2023-09-23 11:15:00+00:00,7.112,85.344
2023-09-23 11:15:00+00:00,2023-09-23 11:20:00+00:00,2.032,24.384
2023-09-23 11:20:00+00:00,2023-09-23 11:25:00+00:00,5.08,60.96
2023-09-23 11:35:00+00:00,2023-09-23 11:40:00+00:00,2.032,24.384
2023-09-23 11:55:00+00:00,2023-09-23 12:00:00+00:00,1.016,12.192
2023-09-23 21:15:00+00:00,2023-09-23 21:20:00+00:00,0.0,0.0
2023-09-24 09:15:00+00:00,2023-09-24 09:20:00+00:00,0.0,0.0
