Reading,Receive,Value,Unit,Data Quality
12/31/2023 10:37:12 AM,12/31/2023 10:37:13 AM,0.00,in,A
12/30/2023 10:37:12 PM,12/30/2023 10:37:13 PM,0.00,in,A
12/30/2023 10:37:12 AM,12/30/2023 10:37:13 AM,0.00,in,A
12/29/2023 10:37:12 PM,12/29/2023 10:37:13 PM,0.00,in,A
12/29/2023 10:37:12 AM,12/29/2023 10:37:13 AM,0.00,in,A
12/28/2023 10:37:12 PM,12/28/2023 10:37:13 PM,0.00,in,A
12/28/2023 10:37:12 AM,12/28/2023 10:37:13 AM,0.00,in,A
12/27/2023 10:37:12 PM,12/27/2023 10:37:15 PM,0.00,in,A
12/27/2023 11:26:53 AM,12/27/2023 11:27:12 AM,0.04,in,A
12/27/2023 10:37:12 AM,12/27/2023 10:37:13 AM,0.00,in,A
12/27/2023 10:13:29 AM,12/27/2023 10:14:12 AM,0.04,in,A
12/27/2023 06:27:48 AM,12/27/2023 06:28:12 AM,0.04,in,A
12/26/2023 10:37:12 PM,12/26/2023 10:37:13 PM,0.00,in,A
12/26/2023 07:54:02 PM,12/26/2023 07:54:12 PM,0.04,in,A
12/26/2023 05:07:37 PM,12/26/2023 05:08:12 PM,0.04,in,A
12/26/2023 10:37:12 AM,12/26/2023 10:37:13 AM,0.00,in,A
12/25/2023 10:37:12 PM,12/25/2023 10:37:13 PM,0.00,in,A
12/25/2023 10:37:12 AM,12/25/2023 10:40:20 AM,0.00,in,A
12/25/2023 09:15:26 AM,12/25/2023 09:16:12 AM,0.04,in,A
12/25/2023 01:44:42 AM,12/25/2023 01:47:22 AM,0.04,in,A
12/25/2023 12:45:50 AM,12/25/2023 12:58:58 AM,0.04,in,A
12/25/2023 12:26:25 AM,12/25/2023 12:38:40 AM,0.04,in,A
12/25/2023 12:14:29 AM,12/25/2023 12:21:02 AM,0.04,in,A
12/25/2023 12:01:05 AM,12/25/2023 12:05:52 AM,0.04,in,A
12/24/2023 11:47:59 PM,12/24/2023 11:49:44 PM,0.04,in,A
12/24/2023 11:35:59 PM,12/24/2023 11:37:03 PM,0.04,in,A
12/24/2023 11:23:34 PM,12/24/2023 11:28:24 PM,0.04,in,A
12/24/2023 11:14:06 PM,12/24/2023 11:24:37 PM,0.04,in,A
12/24/2023 11:04:59 PM,12/24/2023 11:11:29 PM,0.04,in,A
12/24/2023 10:57:24 PM,12/24/2023 11:07:02 PM,0.04,in,A
12/24/2023 10:49:12 PM,12/24/2023 10:55:58 PM,0.04,in,A
12/24/2023 10:42:22 PM,12/24/2023 10:43:12 PM,0.04,in,A
12/24/2023 10:37:12 PM,12/24/2023 10:37:17 PM,0.04,in,A
12/24/2023 10:30:50 PM,12/24/2023 10:31:26 PM,0.04,in,A
12/24/2023 10:25:22 PM,12/24/2023 10:28:31 PM,0.04,in,A
12/24/2023 10:19:51 PM,12/24/2023 10:20:12 PM,0.04,in,A
12/24/2023 10:14:20 PM,12/24/2023 10:15:13 PM,0.04,in,A
12/24/2023 10:08:32 PM,12/24/2023 10:09:12 PM,0.04,in,A
12/24/2023 10:02:42 PM,12/24/2023 10:03:12 PM,0.04,in,A
12/24/2023 09:57:59 PM,12/24/2023 09:58:12 PM,0.04,in,A
12/24/2023 09:53:34 PM,12/24/2023 09:54:12 PM,0.04,in,A
12/24/2023 09:50:34 PM,12/24/2023 09:51:12 PM,0.04,in,A
12/24/2023 09:44:50 PM,12/24/2023 09:45:12 PM,0.04,in,A
12/24/2023 09:37:47 PM,12/24/2023 09:38:12 PM,0.04,in,A
12/24/2023 08:23:10 PM,12/24/2023 08:24:38 PM,0.04,in,A
12/24/2023 07:15:06 PM,12/24/2023 07:15:12 PM,0.04,in,A
12/24/2023 06:45:59 PM,12/24/2023 06:46:12 PM,0.04,in,A
12/24/2023 06:15:32 PM,12/24/2023 06:16:12 PM,0.04,in,A
12/24/2023 05:45:56 PM,12/24/2023 05:46:12 PM,0.04,in,A
12/24/2023 04:47:19 PM,12/24/2023 04:48:12 PM,0.04,in,A
