Reading,Receive,Value,Unit,Data Quality
12/31/2023 01:34:00 PM,12/31/2023 01:34:05 PM,0.00,in,A
12/31/2023 01:34:00 AM,12/31/2023 01:34:05 AM,0.00,in,A
12/30/2023 01:34:00 PM,12/30/2023 01:34:05 PM,0.00,in,A
12/30/2023 01:34:00 AM,12/30/2023 01:34:05 AM,0.00,in,A
12/29/2023 01:34:00 PM,12/29/2023 01:34:05 PM,0.00,in,A
12/29/2023 01:34:00 AM,12/29/2023 01:34:05 AM,0.00,in,A
12/28/2023 01:34:00 PM,12/28/2023 01:34:05 PM,0.00,in,A
12/28/2023 01:34:00 AM,12/28/2023 01:34:05 AM,0.00,in,A
12/27/2023 02:33:53 PM,12/27/2023 02:37:19 PM,0.04,in,A
12/27/2023 01:54:24 PM,12/27/2023 01:55:05 PM,0.04,in,A
12/27/2023 01:34:00 PM,12/27/2023 01:34:05 PM,0.00,in,A
12/27/2023 01:17:11 PM,12/27/2023 01:18:05 PM,0.04,in,A
12/27/2023 12:41:39 PM,12/27/2023 12:42:05 PM,0.04,in,A
12/27/2023 12:07:40 PM,12/27/2023 12:08:05 PM,0.04,in,A
12/27/2023 11:01:50 AM,12/27/2023 11:02:05 AM,0.04,in,A
12/27/2023 01:34:00 AM,12/27/2023 01:34:05 AM,0.00,in,A
12/26/2023 01:34:00 PM,12/26/2023 01:34:05 PM,0.00,in,A
12/26/2023 01:34:00 AM,12/26/2023 01:34:06 AM,0.00,in,A
12/25/2023 01:34:00 PM,12/25/2023 01:34:04 PM,0.00,in,A
12/25/2023 10:32:00 AM,12/25/2023 10:33:05 AM,0.04,in,A
12/25/2023 03:25:33 AM,12/25/2023 03:26:05 AM,0.04,in,A
12/25/2023 01:34:00 AM,12/25/2023 01:37:32 AM,0.00,in,A
12/25/2023 12:53:46 AM,12/25/2023 01:06:44 AM,0.04,in,A
12/25/2023 12:27:57 AM,12/25/2023 12:38:42 AM,0.04,in,A
12/25/2023 12:13:24 AM,12/25/2023 12:21:00 AM,0.04,in,A
12/25/2023 12:03:55 AM,12/25/2023 12:11:47 AM,0.04,in,A
12/24/2023 11:55:19 PM,12/24/2023 11:58:45 PM,0.04,in,A
12/24/2023 11:42:16 PM,12/24/2023 11:45:55 PM,0.04,in,A
12/24/2023 11:30:23 PM,12/24/2023 11:33:38 PM,0.04,in,A
12/24/2023 11:22:09 PM,12/24/2023 11:24:35 PM,0.04,in,A
12/24/2023 11:11:50 PM,12/24/2023 11:12:05 PM,0.04,in,A
12/24/2023 11:02:30 PM,12/24/2023 11:11:22 PM,0.04,in,A
12/24/2023 10:55:49 PM,12/24/2023 11:06:52 PM,0.04,in,A
12/24/2023 10:48:58 PM,12/24/2023 10:55:33 PM,0.04,in,A
12/24/2023 10:43:28 PM,12/24/2023 10:44:06 PM,0.04,in,A
12/24/2023 10:37:51 PM,12/24/2023 10:38:07 PM,0.04,in,A
12/24/2023 10:32:37 PM,12/24/2023 10:33:06 PM,0.04,in,A
12/24/2023 10:27:59 PM,12/24/2023 10:28:37 PM,0.04,in,A
12/24/2023 10:22:35 PM,12/24/2023 10:23:06 PM,0.04,in,A
12/24/2023 10:17:28 PM,12/24/2023 10:18:06 PM,0.04,in,A
12/24/2023 10:12:36 PM,12/24/2023 10:13:06 PM,0.04,in,A
12/24/2023 10:06:50 PM,12/24/2023 10:07:09 PM,0.04,in,A
12/24/2023 10:01:50 PM,12/24/2023 10:02:07 PM,0.04,in,A
12/24/2023 09:54:43 PM,12/24/2023 09:55:06 PM,0.04,in,A
12/24/2023 09:50:17 PM,12/24/2023 09:51:05 PM,0.04,in,A
12/24/2023 09:45:16 PM,12/24/2023 09:46:06 PM,0.04,in,A
12/24/2023 09:38:55 PM,12/24/2023 09:42:26 PM,0.04,in,A
12/24/2023 09:30:01 PM,12/24/2023 09:33:20 PM,0.04,in,A
12/24/2023 08:06:12 PM,12/24/2023 08:07:05 PM,0.04,in,A
12/24/2023 07:15:01 PM,12/24/2023 07:16:05 PM,0.04,in,A
12/24/2023 06:50:01 PM,12/24/2023 06:51:06 PM,0.04,in,A
12/24/2023 06:19:45 PM,12/24/2023 06:20:05 PM,0.04,in,A
12/24/2023 05:58:05 PM,12/24/2023 05:59:51 PM,0.04,in,A
12/24/2023 05:17:42 PM,12/24/2023 05:18:05 PM,0.04,in,A
12/24/2023 03:30:36 PM,12/24/2023 03:31:05 PM,0.04,in,A
12/24/2023 02:46:51 PM,12/24/2023 02:47:05 PM,0.04,in,A
12/24/2023 02:01:13 PM,12/24/2023 02:02:05 PM,0.04,in,A
12/24/2023 01:34:00 PM,12/24/2023 01:34:05 PM,0.00,in,A
12/24/2023 01:07:10 PM,12/24/2023 01:09:38 PM,0.04,in,A
12/24/2023 12:02:44 PM,12/24/2023 12:03:06 PM,0.04,in,A
12/24/2023 11:19:37 AM,12/24/2023 11:20:05 AM,0.04,in,A
12/24/2023 10:28:08 AM,12/24/2023 10:29:05 AM,0.04,in,A
12/24/2023 09:50:05 AM,12/24/2023 09:51:05 AM,0.04,in,A
12/24/2023 09:16:50 AM,12/24/2023 09:17:05 AM,0.04,in,A
12/24/2023 08:59:43 AM,12/24/2023 09:00:05 AM,0.04,in,A
12/24/2023 08:46:31 AM,12/24/2023 08:47:05 AM,0.04,in,A
12/24/2023 08:33:37 AM,12/24/2023 08:34:05 AM,0.08,in,A
12/24/2023 08:17:25 AM,12/24/2023 08:18:06 AM,0.04,in,A
12/24/2023 08:12:04 AM,12/24/2023 08:13:05 AM,0.04,in,A
12/24/2023 07:44:40 AM,12/24/2023 07:45:05 AM,0.04,in,A
12/24/2023 01:34:00 AM,12/24/2023 01:34:05 AM,0.00,in,A
12/23/2023 01:34:00 PM,12/23/2023 01:34:05 PM,0.00,in,A
12/23/2023 01:34:00 AM,12/23/2023 01:34:05 AM,0.00,in,A
12/22/2023 01:34:00 PM,12/22/2023 01:34:05 PM,0.00,in,A
12/22/2023 05:49:21 AM,12/22/2023 05:52:28 AM,0.04,in,A
12/22/2023 05:30:47 AM,12/22/2023 05:31:05 AM,0.04,in,A
12/22/2023 05:22:50 AM,12/22/2023 05:23:05 AM,0.04,in,A
12/22/2023 05:16:10 AM,12/22/2023 05:18:47 AM,0.04,in,A
12/22/2023 05:07:12 AM,12/22/2023 05:08:05 AM,0.04,in,A
12/22/2023 04:58:10 AM,12/22/2023 05:01:15 AM,0.04,in,A
12/22/2023 04:49:43 AM,12/22/2023 04:50:06 AM,0.04,in,A
12/22/2023 04:17:03 AM,12/22/2023 04:18:06 AM,0.04,in,A
12/22/2023 03:46:47 AM,12/22/2023 03:47:05 AM,0.04,in,A
12/22/2023 01:34:00 AM,12/22/2023 01:34:05 AM,0.00,in,A
12/22/2023 12:46:58 AM,12/22/2023 12:47:05 AM,0.04,in,A
12/21/2023 01:34:00 PM,12/21/2023 01:34:05 PM,0.00,in,A
12/21/2023 01:34:00 AM,12/21/2023 01:34:05 AM,0.00,in,A
12/20/2023 01:34:00 PM,12/20/2023 01:34:40 PM,0.00,in,A
12/20/2023 01:33:00 AM,12/20/2023 01:33:06 AM,0.00,in,A
12/19/2023 01:33:00 PM,12/19/2023 01:33:05 PM,0.00,in,A
