Reading,Receive,Value,Unit,Data Quality
08/08/2025 07:00:25 AM,08/08/2025 07:00:40 AM,0.00,in,A
08/06/2025 07:00:25 PM,08/06/2025 07:00:36 PM,0.00,in,A
08/06/2025 07:00:25 AM,08/06/2025 07:00:37 AM,0.00,in,A
08/05/2025 07:00:25 PM,08/05/2025 07:00:37 PM,0.00,in,A
08/05/2025 07:00:25 AM,08/05/2025 07:00:32 AM,0.00,in,A
08/04/2025 07:00:25 PM,08/04/2025 07:00:30 PM,0.00,in,A
08/04/2025 07:00:25 AM,08/04/2025 07:00:53 AM,0.00,in,A
08/03/2025 07:00:25 PM,08/03/2025 07:01:57 PM,0.00,in,A
08/02/2025 07:00:25 PM,08/02/2025 07:00:37 PM,0.00,in,A
08/02/2025 07:00:25 AM,08/02/2025 07:00:37 AM,0.00,in,A
08/01/2025 07:00:25 PM,08/01/2025 07:00:30 PM,0.00,in,A
08/01/2025 07:00:25 AM,08/01/2025 07:00:47 AM,0.00,in,A
07/31/2025 07:00:25 PM,07/31/2025 07:00:36 PM,0.00,in,A
07/31/2025 07:00:25 AM,07/31/2025 07:00:37 AM,0.00,in,A
07/31/2025 03:08:33 AM,07/31/2025 03:09:35 AM,0.04,in,A
07/31/2025 03:01:19 AM,07/31/2025 03:01:33 AM,0.04,in,A
07/31/2025 02:59:32 AM,07/31/2025 03:00:35 AM,0.04,in,A
07/31/2025 02:57:50 AM,07/31/2025 02:58:35 AM,0.04,in,A
07/31/2025 12:40:05 AM,07/31/2025 12:40:35 AM,0.04,in,A
07/30/2025 07:00:25 PM,07/30/2025 07:00:31 PM,0.00,in,A
07/30/2025 07:00:25 AM,07/30/2025 07:00:39 AM,0.00,in,A
07/30/2025 06:29:30 AM,07/30/2025 06:30:33 AM,0.04,in,A
07/30/2025 06:26:55 AM,07/30/2025 06:27:36 AM,0.04,in,A
07/30/2025 06:23:23 AM,07/30/2025 06:23:35 AM,0.03,in,A
07/30/2025 06:21:03 AM,07/30/2025 06:21:32 AM,0.04,in,A
07/30/2025 06:18:44 AM,07/30/2025 06:19:36 AM,0.04,in,A
07/30/2025 06:17:56 AM,07/30/2025 06:18:32 AM,0.04,in,A
07/30/2025 06:16:42 AM,07/30/2025 06:17:35 AM,0.04,in,A
07/30/2025 06:15:32 AM,07/30/2025 06:16:35 AM,0.04,in,A
07/30/2025 06:14:36 AM,07/30/2025 06:15:35 AM,0.04,in,A
07/30/2025 06:13:46 AM,07/30/2025 06:14:30 AM,0.04,in,A
07/30/2025 06:11:43 AM,07/30/2025 06:12:35 AM,0.04,in,A
07/30/2025 06:09:26 AM,07/30/2025 06:10:29 AM,0.04,in,A
07/30/2025 06:06:58 AM,07/30/2025 06:07:28 AM,0.04,in,A
